Farm	Sex	Length	Ecervi
CB	2	131	0
CB	2	128.5	326.13
CB	2	127.9	0
CB	2	126	0
CB	2	120.5	0
CB	2	116	0
CB	2	114.5	0
CB	2	111.9	0
CB	2	110.3	0
CB	1	197	62.11
CB	1	190	16.67
CB	1	189	27.09
CB	1	187	20.4
CB	1	183	25.24
CB	1	179	0
CB	1	177	12.52
CB	1	170	0
CB	1	169.8	16.22
CB	1	169.5	178.42
CB	1	165	0
CB	1	163.5	86.31
CB	1	160	17.6
CB	1	158	135.88
CB	1	157	35.35
CB	1	156.5	0
CB	1	156	0
CB	1	154	2.199
CB	1	151.5	178.02
CB	1	151	98.39
CB	1	150	0
CB	1	148	180.45
CB	1	148	1.29
CB	1	147	134.05
CB	1	137.5	71.65
CB	1	130.5	54.09
CB	1	121.5	0
CRC	1	116.5	0
HB	2	174	3.33
HB	2	153	0
HB	2	147	0
HB	1	172	0
HB	1	170	0
HB	1	165	0
HB	1	163	0
HB	1	163	0
HB	1	162	1.15
HB	1	159	0
HB	1	159	0
HB	1	153	0
HB	1	152	0
HB	1	149.8	0
HB	1	145	0
HB	1	143	0
HB	1	142	0
LN	2	177	73.05
LN	2	176	86.37
LN	2	165	97.97
LN	2	165	22.187
LN	1	199	125.89
LN	1	198	141.21
LN	1	191	79.81
LN	1	190	125.35
LN	1	190	20.4
LN	1	189	284.31
LN	1	189	89.64
LN	1	184	831.14
LN	1	184	127.33
LN	1	182	37.77
LN	1	181	210.1
LN	1	181	207.68
LN	1	181	163.34
LN	1	179	129.71
LN	1	178	112.1
LN	1	178	2.3
LN	1	177	41.6
LN	1	176	97.29
LN	1	175	71.19
LN	1	174	160.75
LN	1	174	37.03
LN	1	172	96.25
LN	1	170	161.48
LN	1	166	23.3
LN	1	163	0
LN	1	160	4.66
LN	1	145	33.31
LN	1	118	0
LN	1	103	0
MAN	2	163	0
MAN	2	159	0
MAN	2	151	8.81
MAN	2	146	69.75
MAN	2	146	0
MAN	2	143	5.9
MAN	2	129	0
MAN	2	115	0
MAN	1	199	35.8
MAN	1	199	0
MAN	1	190	0
MAN	1	188	66.37
MAN	1	187	0
MAN	1	187	0
MAN	1	182	0
MAN	1	181	2.5
MAN	1	180	0
MAN	1	178	0
MAN	1	176	0
MAN	1	174	0
MAN	1	174	0
MAN	1	173	17.33
MAN	1	172	24.61
MAN	1	171	2
MAN	1	170	0
MAN	1	168	10
MAN	1	128	1.6
MB	2	169	12.13
MB	2	168.5	17.47
MB	2	168	13.72
MB	2	166.5	47.12
MB	2	164.2	3.5
MB	2	159.7	8
MB	2	157	6.09
MB	2	156.5	48
MB	2	155.5	15.73
MB	2	154	7.19
MB	2	153	10.76
MB	2	152.2	30.2
MB	2	150	29.3
MB	2	148	35.21
MB	2	146	57.8
MB	2	142.2	0
MB	2	115	53.5
MB	1	190	3.15
MB	1	184	0
MB	1	182	0
MB	1	181.9	3.85
MB	1	181.5	7.71
MB	1	180.7	27.35
MB	1	180.3	52.1
MB	1	179.4	2.2
MB	1	179	31.35
MB	1	179	0
MB	1	176	5.3
MB	1	172.5	24.42
MB	1	172	22.43
MB	1	172	3.8
MB	1	171	1.17
MB	1	168	31.32
MB	1	153	61.9
MO	2	191	2.43
MO	2	181	4.48
MO	2	178	10.92
MO	2	178	1.13
MO	2	174	0
MO	2	173	0
MO	2	173	0
MO	2	173	0
MO	2	171	12.5
MO	2	171	4.024
MO	2	171	0
MO	2	171	0
MO	2	170.5	3.98
MO	2	170	0
MO	2	170	0
MO	2	170	0
MO	2	169	1.18
MO	2	169	0
MO	2	168	22.2
MO	2	168	15.8
MO	2	168	7.49
MO	2	168	0
MO	2	168	0
MO	2	167	67.83
MO	2	167	14.42
MO	2	167	1.98
MO	2	167	0
MO	2	167	0
MO	2	166.5	0
MO	2	166	10.34
MO	2	166	0
MO	2	166	0
MO	2	165	66.94
MO	2	165	38.8
MO	2	165	14.17
MO	2	165	1
MO	2	165	0
MO	2	165	0
MO	2	164	8.22
MO	2	164	0
MO	2	163	16.5
MO	2	163	14.91
MO	2	163	3.06
MO	2	163	0
MO	2	162	28.2
MO	2	162	0
MO	2	162	0
MO	2	162	0
MO	2	162	0
MO	2	162	0
MO	2	161	12.95
MO	2	161	0
MO	2	160.5	0.92
MO	2	160	0
MO	2	159.5	0
MO	2	159	72.54
MO	2	159	10.47
MO	2	159	9.47
MO	2	159	8
MO	2	159	3.59
MO	2	159	0
MO	2	158.5	4.4
MO	2	158.5	0
MO	2	158	23.16
MO	2	158	5.87
MO	2	158	0
MO	2	158	0
MO	2	158	0
MO	2	158	0
MO	2	158	0
MO	2	158	0
MO	2	157.2	30.78
MO	2	157	33.24
MO	2	157	24.5
MO	2	157	0
MO	2	156.5	7.9
MO	2	156	0
MO	2	155	0
MO	2	155	0
MO	2	153	16.24
MO	2	153	0
MO	2	153	0
MO	2	152	350.1
MO	2	152	20
MO	2	152	3.36
MO	2	152	0
MO	2	152	0
MO	2	152	0
MO	2	152	0
MO	2	152	0
MO	2	152	0
MO	2	152	0
MO	2	152	0
MO	2	151	0
MO	2	151	0
MO	2	150.5	0
MO	2	150	43.3
MO	2	150	0
MO	2	150	0
MO	2	149	0
MO	2	148	13.6
MO	2	148	0
MO	2	148	0
MO	2	147	15.04
MO	2	147	0
MO	2	147	0
MO	2	145	0
MO	2	143	0
MO	2	143	0
MO	2	141.5	0
MO	2	139	0
MO	2	138	0
MO	2	136	0
MO	2	135	0
MO	2	135	0
MO	2	132	0
MO	2	132	0
MO	2	131	8.63
MO	2	131	0
MO	2	127	0
MO	2	125	0
MO	2	124	0
MO	2	121	0
MO	2	116	0
MO	2	91.6	0
MO	2	85	0
MO	1	214	0
MO	1	209	0
MO	1	208	107.6
MO	1	205	17.7
MO	1	202	4.52
MO	1	202	0
MO	1	201	1.13
MO	1	200	44.59
MO	1	199	17.51
MO	1	198	7.28
MO	1	198	7.1
MO	1	197	91.44
MO	1	197	42.4
MO	1	197	37.23
MO	1	197	6.1
MO	1	197	0
MO	1	196	7.66
MO	1	196	1.09
MO	1	195	0
MO	1	194	1.7
MO	1	191	0
MO	1	188.5	28.19
MO	1	188	0
MO	1	187	26.37
MO	1	187	21.89
MO	1	187	0
MO	1	186	12.33
MO	1	186	1.97
MO	1	185	0
MO	1	184	0
MO	1	183	0
MO	1	182	17.3
MO	1	182	5.82
MO	1	182	0
MO	1	179	1.21
MO	1	178	5.92
MO	1	177	0
MO	1	176	2.15
MO	1	174	16.12
MO	1	174	1.19
MO	1	174	0
MO	1	174	0
MO	1	172	143
MO	1	171	0
MO	1	171	0
MO	1	170	16.5
MO	1	170	0
MO	1	170	0
MO	1	168	14
MO	1	167	0
MO	1	164	0
MO	1	164	0
MO	1	163	0
MO	1	162	15.92
MO	1	160	0
MO	1	158	130.4
MO	1	158	24.52
MO	1	158	0
MO	1	155	0
MO	1	155	0
MO	1	152	0
MO	1	152	0
MO	1	149	0
MO	1	148	7.35
MO	1	148	0
MO	1	147	0
MO	1	145	0
MO	1	144	0
MO	1	142.3	0
MO	1	142	1.14
MO	1	142	0
MO	1	139	0
MO	1	138	0
MO	1	137	0
MO	1	136	0
MO	1	136	0
MO	1	136	0
MO	1	132	2.17
MO	1	132	0
MO	1	130	0
MO	1	126	0
MO	1	126	0
MO	1	75	0
NC	2	166	3.324
NC	2	164	1.1634
NC	2	159	0
NC	2	158	2.22708
NC	2	153	0
NC	2	153	0
NC	2	150	0
NC	2	143	19.944
NC	2	143	0
NC	1	190.5	3.56
NC	1	187.5	0
NC	1	182	0
NC	1	178.6	8
NC	1	177	0
NC	1	177	0
NC	1	175	0
NC	1	174	0
NC	1	173	1.24
NC	1	172	32.53
NC	1	172	0
NC	1	171	1.23
NC	1	170	10.17
NC	1	169.4	5.89
NC	1	168.2	0
NC	1	168	0
NC	1	163	7.25
NC	1	160	3.37
NV	2	169	19.44
NV	2	166	9.72
NV	2	165	3.24
NV	2	164	68.04
NV	2	162.5	0
NV	2	159	6.48
NV	2	158	0
NV	2	154	0
NV	2	153	6.48
NV	2	152	0
NV	2	151	0
NV	2	150.5	0
NV	2	149	35.64
NV	2	148.7	32.4
NV	2	148	3.24
NV	2	147	0
NV	2	147	0
NV	2	138	6.48
NV	2	137.8	2.43
NV	2	132	0
PN	2	173.5	3.53
PN	2	168.1	7.48
PN	2	165.5	7.04
PN	2	165	1.1
PN	2	163	12.56
PN	2	161	37.7
PN	2	160	15
PN	2	155	3.41
PN	2	152.8	75.04
PN	2	152	13.55
PN	2	149.8	19.88
PN	2	149.6	7.75
PN	2	149	11.59
PN	2	148	14.94
PN	2	146.7	0
PN	2	130	0
PN	2	126	0
PN	1	184	32.9
PN	1	184	23
PN	1	183	44.7
PN	1	179	39.5
PN	1	178	5.7
PN	1	178	1
PN	1	177	21.8
PN	1	176	51.8
PN	1	176	8.5
PN	1	175	40.5
PN	1	175	7.2
PN	1	173	190.43
PN	1	172	86.3
PN	1	172	32.8
PN	1	171	145
PN	1	169	25.8
PN	1	166	28.2
PN	1	166	13.55
PN	1	166	6.7
PN	1	162	9.8
QM	2	168	39.93
QM	2	165	22.23
QM	2	165	0
QM	2	162	105.45
QM	2	162	28.12
QM	2	161	12.31
QM	2	160	0
QM	2	158.6	1.7
QM	2	157.5	94.2
QM	2	157	27.75
QM	2	157	22.04
QM	2	157	17.49
QM	2	155	15.54
QM	2	154	73.73
QM	2	154	32.54
QM	2	153	68.68
QM	2	152	108.42
QM	2	152	67.47
QM	2	151	8.83
QM	2	149.7	17.78
QM	2	149.5	89.74
QM	2	144	0
QM	2	143	678.13
QM	2	137	29.64
QM	2	136	0
QM	2	135	0
QM	2	131	0
QM	2	129	169.88
QM	2	117	170.2
QM	2	115	0
QM	2	114	13.44
QM	2	108	2.4
QM	2	106	0
QM	1	179	123.7
QM	1	177	43.7
QM	1	175.5	0
QM	1	175	60.39
QM	1	173.5	33.33
QM	1	168.5	179
QM	1	162	6.023
QM	1	161.5	209.11
QM	1	160	466.5
QM	1	160	124.44
QM	1	160	67.8
QM	1	157	5.8
QM	1	157	0
QM	1	155.5	51.33
QM	1	152.5	53.61
QM	1	148	192.34
QM	1	148	24.38
QM	1	145	0
QM	1	144.5	72.51
QM	1	144.2	645.23
QM	1	143	1055.7
QM	1	142.1	26.98
QM	1	138	92.37
QM	1	130	263
QM	1	120	6.35
QM	1	120	5
QM	1	112	0
RF	2	163	6.7
RF	2	163	4.79
RF	2	162.4	13.51
RF	2	157	5.93
RF	2	150	91.7
RF	2	141	32.9
RF	2	118	0
RF	2	114	0
RF	1	181	29.916
RF	1	180	13.296
RF	1	177	1442
RF	1	177	141.7686
RF	1	174	113.016
RF	1	172	160.7154
RF	1	170	8.8086
RF	1	168.5	109.2
RF	1	160	98.07
RF	1	160	2.33
RF	1	155	255.948
RF	1	155	12.1326
RN	2	164.3	0
RN	2	163	11.85
RN	2	151	0
RN	2	150	0
RN	2	137	0
RN	2	128	0
RN	2	122	0
RN	1	191	0
RN	1	189	11.9
RN	1	178	0
RN	1	176	26.9
RN	1	174	0
RN	1	174	0
RN	1	173	0.8
RN	1	172	0
RN	1	169	1.2
RN	1	169	0
RN	1	166	0
RN	1	160	32.9
RN	1	159	40.4
RN	1	143	0
RN	1	134	0
RN	1	131	0
RO	2	170	0
RO	2	157.5	2.5
RO	2	156	2.5
RO	2	151	8.75
RO	2	144.9	15
RO	2	144	39
RO	2	137.9	6.25
RO	2	131	25
RO	1	186	12.1
RO	1	182	71.1
RO	1	179	160.6
RO	1	178	556.3
RO	1	177	434.02
RO	1	177	45
RO	1	175	11.6
RO	1	174	221.3
RO	1	174	114.8
RO	1	172.5	8.75
RO	1	172	13.7
RO	1	171	29.4
RO	1	169	63.7
RO	1	168	110.4
RO	1	163	2186.6
RO	1	163	242.5
RO	1	162	108.1
RO	1	161	35
RO	1	160	10
RO	1	159	8.75
RO	1	158	77.7
RO	1	126.4	0
SAU	1	185.5	0
SAU	1	182	0
SAU	1	166	0
SE	2	175	260.2
SE	2	172	47.94
SE	2	167	96.53
SE	2	163.5	121.41
SE	2	162.5	84.11
SE	2	161	40.669
SE	2	159	0
SE	2	157.5	19.66
SE	2	151.5	152.67
SE	2	146.5	48.94
SE	2	105.5	0
SE	1	194	110.08
SE	1	191	0
SE	1	190	40
SE	1	189	48.84
SE	1	188	57.48
SE	1	181	0.837
SE	1	180	2.2
SE	1	179	11.86
SE	1	178	39.55
SE	1	177	19.07
SE	1	176	0
SE	1	174	81.31
SE	1	174	6.77
SE	1	121.5	0
SE	1	117	0
TI	1	200	7
TI	1	192	3.6
TI	1	188	4.5
TI	1	187	65.1
TI	1	185	22.7
TI	1	184	14.5
TI	1	184	14
TI	1	184	10.1
TI	1	183	0
TI	1	182	49.2
TI	1	182	17.5
TI	1	179	12.3
TI	1	179	8
TI	1	179	6.8
TI	1	178	22.9
TI	1	175	31.3
TI	1	175	17.6
TI	1	172	6.5
TI	1	170	0.8
TN	2	165	1.76
TN	2	163	4.62
TN	2	161	5.96
TN	2	160	86.2326
TN	2	160	12.96
TN	2	157	8.1
TN	2	151	16.2
TN	2	149	53.9946
TN	2	149	0
TN	2	148	109.1718
TN	2	148	9.72
TN	2	146.5	38.88
TN	2	146	16.2
TN	2	138	29.16
TN	2	135	0
TN	2	124	0
TN	1	179	84.24
TN	1	176	3.39
TN	1	173	0
TN	1	158	1.91
TN	1	155	87.48
TN	1	154.5	0
TN	1	145	0
TN	1	144.9	84.24
TN	1	125	0
VISO	1	174.5	250.9
VISO	1	167	1.4
VISO	1	167	0
VISO	1	166.5	495
VISO	1	166.1	18.6
VISO	1	165	96.6
VISO	1	164.7	24.1
VISO	1	161	58.3
VISO	1	160	38.6
VISO	1	158	0
VISO	1	157	4.9
VISO	1	149	7.99
VISO	1	114.3	21.7
VY	2	165	36.46
VY	2	151	11.28
VY	2	146	9.57
VY	1	166	364
VY	1	148	0
VY	1	143	20.12
VY	1	140	6.24
