Year	Season	farm_code_numeric	Survey	Signs_in_yard	No_setts_in_fields	No_active_setts_in_fields	No_buildings	No_cattle_in_buidlings_yard	Accessible_feed_store_present	Accessible_cattle_house_present	Accessible_feed_present	Grass_silage	Cereal_silage	HayStraw	Cereal_grains	Concentrates	Proteinblocks	Sugarbeet	Vegetables	Molasses
2004	3	10	5	1	14	6	22	46	1	1	1	1	1	1	1	1	0	0	0	1
2004	4	10	6	1	14	7	22	231	1	0	1	1	1	0	1	1	0	0	0	1
2005	1	10	7	1	15	7	22	244	1	0	1	1	1	0	0	1	0	0	0	1
2005	2	10	8	1	12	4	22	98	1	0	1	1	1	0	0	1	0	0	0	1
2003	3	11	1	0	4	4	9	12	1	1	1	0	0	1	0	1	0	0	0	1
2003	4	11	2	0	4	3	9	41	1	1	1	1	0	1	0	1	0	0	0	0
2004	1	11	3	0	4	4	8	40	1	1	1	1	0	1	0	1	0	0	0	1
2004	2	11	4	0	4	4	8	10	1	1	1	1	0	1	0	1	0	0	0	1
2004	3	11	5	0	4	4	8	11	1	1	1	1	0	1	0	0	0	0	0	0
2004	4	11	6	0	3	1	9	38	1	1	1	0	0	1	0	1	0	0	0	1
2005	1	11	7	0	3	2	9	20	1	1	1	0	0	1	0	1	0	0	0	1
2005	2	11	8	0	2	2	9	8	1	1	1	0	0	1	0	1	0	0	0	1
2003	3	12	1	0	3	3	16	37	1	1	1	0	0	1	1	1	0	0	0	1
2003	4	12	2	0	3	3	14	30	1	1	1	0	0	1	1	1	0	0	0	1
2004	1	12	3	0	4	3	16	83	1	1	1	0	0	1	1	1	0	0	0	1
2004	2	12	4	0	5	3	16	92	1	1	1	0	0	1	0	1	0	0	0	1
2004	3	12	5	0	5	3	18	40	1	1	1	1	0	1	0	1	0	0	0	1
2004	4	12	6	0	5	3	18	116	1	1	1	0	0	1	0	1	0	0	0	1
2005	1	12	7	0	5	3	18	116	1	1	1	0	0	1	1	0	0	0	0	0
2005	2	12	8	0	5	4	16	43	1	1	1	0	0	1	0	1	0	0	0	1
2003	3	13	1	0	2	1	7	0	1	1	1	0	0	1	0	0	0	0	0	0
2003	4	13	2	0	2	2	7	31	1	1	1	0	0	1	0	0	0	0	1	0
2004	1	13	3	0	2	1	7	33	1	1	1	0	0	1	0	0	0	0	1	0
2004	2	13	4	0	3	2	7	11	1	1	1	0	0	0	0	0	0	0	1	0
2004	3	13	5	0	3	1	7	0	1	1	1	0	0	0	1	0	0	0	0	0
2004	4	13	6	0	2	1	8	0	1	1	1	0	0	1	0	0	0	0	1	0
2005	1	13	7	0	2	2	7	30	1	1	1	0	0	1	0	0	0	0	1	0
2005	2	13	8	0	2	2	7	6	1	0	1	0	0	0	0	0	0	0	1	0
2003	3	14	1	0	1	1	12	28	0	0	0	0	0	0	0	0	0	0	0	0
2003	4	14	2	1	7	6	13	148	1	1	1	0	0	1	1	0	0	0	0	0
2004	1	14	3	1	7	7	11	152	0	1	0	0	1	0	0	1	0	0	0	1
2004	2	14	4	1	7	5	12	6	0	1	1	0	0	0	1	0	0	0	0	0
2004	3	14	5	0	7	5	11	24	0	1	0	0	0	0	0	0	0	0	0	0
2004	4	14	6	1	8	5	12	187	1	1	1	0	0	1	0	0	0	0	0	0
2005	1	14	7	1	8	5	13	160	1	1	1	0	0	1	1	1	0	0	0	1
2005	2	14	8	1	8	5	11	0	1	0	1	0	0	1	0	0	0	0	0	0
2003	3	15	1	0	1	1	8	72	1	1	1	1	0	1	1	0	0	0	0	0
2003	4	15	2	0	7	4	5	117	1	1	1	0	0	1	0	0	0	0	0	0
2004	1	15	3	0	7	5	7	113	1	1	1	1	0	1	1	0	0	0	0	0
2004	2	15	4	0	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	3	15	5	0	6	4	2	0	1	0	1	0	0	1	0	0	0	0	0	0
2004	4	15	6	0	7	3	7	47	1	1	1	1	0	0	0	0	0	0	0	0
2005	1	15	7	0	7	5	8	72	1	1	1	1	0	1	0	0	0	0	0	0
2005	2	15	8	0	7	4	8	7	1	1	1	0	0	1	0	1	0	0	0	0
2003	3	16	1	0	3	1	7	0	1	0	1	1	0	1	0	1	0	0	0	0
2003	4	16	2	0	4	2	7	55	1	1	1	1	0	1	0	0	0	0	0	0
2004	1	16	3	0	4	3	7	61	1	1	1	0	0	1	0	0	0	0	0	0
2004	2	16	4	0	4	1	7	34	1	1	1	1	0	1	0	0	0	0	0	0
2004	3	16	5	0	4	0	7	0	1	0	1	0	0	1	0	1	0	0	0	0
2004	4	16	6	0	4	0	8	50	1	0	1	0	0	1	0	0	0	0	0	0
2005	1	16	7	0	4	0	7	71	1	1	0	0	0	0	0	0	0	0	0	0
2005	2	16	8	0	4	0	8	0	0	1	1	0	0	0	0	0	0	0	1	0
2003	3	17	1	0	2	2	13	20	1	1	1	0	0	1	1	0	0	0	0	0
2003	4	17	2	0	2	2	13	22	1	1	1	1	1	1	1	0	0	0	0	0
2004	1	17	3	0	2	2	12	37	1	1	1	0	1	1	1	0	0	0	0	0
2004	2	17	4	0	2	2	12	12	1	1	1	0	1	1	1	1	0	0	0	0
2004	3	17	5	0	2	2	16	12	1	1	1	0	0	1	1	0	0	0	0	0
2004	4	17	6	0	2	1	15	37	1	1	1	0	1	1	1	0	0	0	0	0
2005	1	17	7	0	2	2	15	35	1	1	1	0	1	1	1	1	0	1	0	1
2005	2	17	8	0	2	2	14	32	1	1	1	0	1	1	1	0	0	1	0	0
2003	4	18	2	0	8	6	10	2	1	1	1	1	0	1	0	1	0	0	0	1
2004	1	18	3	0	8	7	10	263	0	1	1	1	0	1	0	1	0	0	0	1
2004	2	18	4	1	9	9	10	122	1	1	1	1	0	1	1	1	0	0	0	1
2004	4	18	6	1	9	7	13	119	1	1	1	0	0	1	0	1	0	0	0	1
2005	1	18	7	1	9	6	12	131	1	1	1	1	0	1	0	1	0	0	0	1
2005	2	18	8	1	9	7	13	220	1	1	1	1	0	1	0	1	0	0	0	1
2003	3	19	1	0	0	0	13	0	1	1	1	0	0	1	0	0	0	0	0	0
2003	4	19	2	0	2	2	10	169	1	1	1	0	0	1	0	0	0	0	0	0
2004	1	19	3	0	1	1	13	161	1	1	1	0	0	1	0	0	0	0	0	0
2004	2	19	4	0	2	2	14	28	0	1	0	0	0	0	0	0	0	0	0	0
2004	3	19	5	0	3	3	13	38	1	0	1	0	0	1	0	0	0	0	0	0
2004	4	19	6	0	2	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	1	19	7	0	2	1	11	148	1	1	1	0	0	1	0	0	0	0	0	0
2005	2	19	8	0	2	1	11	0	1	0	1	0	0	0	0	1	0	0	0	0
2003	3	20	1	0	0	0	8	0	1	1	1	0	0	1	0	0	0	0	0	0
2003	4	20	2	0	0	0	8	85	0	1	1	1	1	0	0	0	0	0	0	0
2004	1	20	3	0	0	0	8	87	0	1	1	1	1	0	0	0	0	0	0	0
2004	2	20	4	0	2	2	8	61	0	1	1	1	1	0	0	0	0	0	0	0
2004	3	20	5	0	0	0	8	89	0	0	0	1	0	0	0	0	0	0	0	0
2004	4	20	6	0	0	0	9	0	1	1	1	1	0	1	0	0	0	0	0	0
2005	1	20	7	0	0	0	9	81	1	1	1	1	0	1	0	0	0	0	0	0
2005	2	20	8	0	2	1	8	26	0	1	1	0	0	0	0	0	0	0	0	0
2003	4	21	2	1	4	0	11	66	0	1	0	0	0	0	1	0	0	0	0	0
2004	1	21	3	1	2	2	12	102	1	0	1	0	0	0	1	1	0	0	0	0
2004	2	21	4	0	3	3	11	38	1	0	1	0	0	1	1	0	0	0	0	0
2004	3	21	5	0	3	1	17	0	1	0	1	0	0	1	0	0	0	0	0	0
2004	4	21	6	0	3	1	16	67	0	0	0	0	0	0	1	0	0	0	0	0
2005	1	21	7	0	1	1	15	191	1	0	1	0	0	1	1	1	0	0	0	1
2005	2	21	8	0	1	1	16	0	1	0	1	0	0	1	0	0	0	0	0	0
2003	3	22	1	1	0	0	14	0	1	0	1	0	0	1	0	0	0	0	0	0
2003	4	22	2	0	1	0	7	0	1	0	1	0	0	1	0	0	0	0	0	0
2004	1	22	3	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
2004	2	22	4	0	0	0	14	18	0	0	0	0	0	0	0	0	0	0	0	0
2004	3	22	5	0	3	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	4	22	6	0	3	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0
2005	1	22	7	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	2	22	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	3	23	1	0	1	1	24	128	1	1	1	0	0	1	1	1	0	0	0	1
2003	4	23	2	0	1	1	24	302	1	1	1	1	0	1	1	1	0	0	0	1
2004	1	23	3	0	2	1	24	304	1	0	1	1	0	1	1	1	0	0	0	1
2004	2	23	4	0	2	1	24	151	1	0	1	0	0	1	1	1	1	0	0	1
2004	3	23	5	0	1	1	24	79	1	1	1	1	0	1	1	1	1	0	0	1
2004	4	23	6	0	1	1	24	288	1	1	1	1	0	1	1	1	0	0	0	1
2005	1	23	7	0	1	1	24	336	1	1	1	1	0	1	1	1	0	0	0	1
2003	3	24	1	0	0	0	23	72	1	1	1	0	0	0	1	1	0	0	0	1
2003	4	24	2	0	2	2	22	167	0	1	0	0	0	0	0	0	0	0	0	0
2004	1	24	3	0	2	2	48	235	1	1	1	1	0	1	0	0	0	0	0	0
2004	2	24	4	0	2	2	0	110	0	0	0	0	0	0	0	0	0	0	0	0
2004	3	24	5	0	2	0	24	45	1	1	0	0	0	0	0	0	0	0	0	0
2004	4	24	6	0	2	1	24	93	1	0	1	1	0	1	1	0	0	0	0	0
2005	1	24	7	0	2	1	24	190	1	1	1	0	0	1	1	0	0	0	0	0
2005	2	24	8	0	2	1	25	13	1	1	1	0	0	0	1	0	1	1	0	0
2003	3	25	1	0	3	2	11	89	1	0	1	1	1	0	1	1	0	1	1	0
2003	4	25	2	0	3	0	11	160	1	1	1	0	0	0	1	1	0	1	0	0
2004	1	25	3	0	2	0	11	204	1	0	1	1	0	1	1	0	0	0	0	0
2004	2	25	4	0	1	1	14	92	1	0	1	0	0	1	0	0	0	0	0	0
2004	3	25	5	0	3	0	11	42	1	0	1	0	1	1	1	1	0	0	0	1
2004	4	25	6	0	3	0	11	112	1	0	1	1	0	1	1	1	0	0	0	0
2005	1	25	7	0	3	0	11	255	1	0	1	0	0	1	1	0	0	0	0	0
2005	2	25	8	0	3	0	12	0	1	0	1	0	1	1	0	0	0	0	0	0
2003	4	26	2	0	9	8	11	145	1	1	1	1	1	1	0	1	0	0	0	1
2004	1	26	3	1	9	9	8	114	1	1	1	1	0	1	0	0	0	0	0	0
2004	2	26	4	0	9	7	7	126	1	1	1	0	1	1	0	0	0	0	0	0
2004	4	26	6	0	9	8	9	45	1	1	1	1	0	1	0	0	0	0	0	0
2005	1	26	7	0	9	7	11	184	1	1	1	1	0	1	0	0	0	0	0	0
2005	2	26	8	0	10	6	10	148	1	1	1	1	1	1	0	0	0	0	0	0
2003	3	27	1	0	4	1	25	243	1	1	1	1	1	1	1	1	0	1	0	0
2003	4	27	2	0	5	1	16	260	1	1	1	0	1	1	1	0	0	1	0	0
2004	1	27	3	0	4	2	21	396	1	1	1	0	0	1	1	1	0	1	0	1
2004	2	27	4	0	4	1	26	199	1	1	1	0	1	0	1	0	0	1	0	0
2004	3	27	5	0	4	1	27	319	1	0	1	1	1	0	1	1	0	1	0	1
2004	4	27	6	0	5	4	28	260	1	1	1	1	1	1	1	0	0	1	0	0
2005	1	27	7	1	4	2	26	309	1	1	1	1	1	1	1	0	0	1	0	0
2005	2	27	8	0	4	2	27	199	1	1	1	1	1	0	1	0	0	1	0	0
2003	3	28	1	0	1	1	36	133	1	1	1	1	1	1	1	1	1	0	0	1
2003	4	28	2	0	1	0	34	120	1	1	1	1	1	1	1	1	1	0	0	1
2004	1	28	3	0	1	1	34	74	1	1	1	1	1	1	1	1	1	0	1	0
2004	2	28	4	0	1	1	34	56	1	1	1	1	1	1	1	1	1	0	0	0
2004	4	28	6	0	1	1	36	87	1	1	1	1	1	1	1	1	0	0	1	1
2005	1	28	7	0	1	1	35	110	1	1	1	1	1	1	1	0	0	1	1	0
2005	2	28	8	0	1	0	35	43	1	1	1	1	1	1	1	1	0	1	0	1
2003	3	29	1	0	2	2	15	0	1	1	1	0	0	1	0	0	0	0	0	0
2003	4	29	2	0	2	2	13	17	1	1	1	0	0	1	0	0	0	0	0	0
2004	1	29	3	0	2	2	16	43	1	0	1	0	0	1	0	0	0	0	0	0
2004	2	29	4	0	4	4	17	22	1	0	0	1	0	0	0	0	0	0	0	0
2004	3	29	5	0	6	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	4	29	6	0	4	2	18	20	1	1	1	0	0	1	0	1	0	0	0	0
2005	1	29	7	0	5	5	19	42	0	0	0	0	0	1	0	1	0	0	0	1
2005	2	29	8	1	4	3	19	2	0	0	0	0	0	0	0	1	0	0	0	0
2003	3	30	1	0	2	2	12	0	1	1	1	0	0	1	1	0	0	0	0	0
2003	4	30	2	0	3	2	12	32	0	0	0	1	0	0	1	0	0	0	0	0
2004	1	30	3	0	5	4	12	63	1	0	1	1	0	0	1	0	0	0	1	0
2004	2	30	4	0	2	2	12	15	1	0	1	1	0	0	1	0	0	0	1	0
2004	3	30	5	0	3	1	12	0	1	0	1	1	0	0	0	0	0	0	0	0
2004	4	30	6	0	3	2	12	24	1	0	1	1	0	0	1	1	0	0	0	0
2005	1	30	7	0	3	3	12	40	1	0	1	0	0	0	0	0	0	0	0	0
2005	2	30	8	0	5	4	12	0	1	0	1	1	0	0	0	0	0	0	0	0
2003	3	31	1	1	14	5	14	15	1	0	1	1	0	0	1	1	0	0	0	1
2003	4	31	2	1	13	5	24	264	1	1	1	1	1	0	0	1	0	0	0	1
2004	1	31	3	1	15	8	10	168	0	1	0	0	0	0	0	1	0	0	0	1
2004	2	31	4	1	18	7	10	129	0	0	0	0	0	0	0	1	0	0	0	1
2004	3	31	5	1	17	11	13	6	1	0	1	1	0	1	0	1	0	0	0	1
2004	4	31	6	1	10	6	13	160	0	0	0	0	0	0	0	1	0	0	0	1
2005	1	31	7	1	18	7	13	225	1	0	0	0	0	0	0	1	0	0	0	1
2005	2	31	8	1	17	7	9	9	0	1	0	0	0	0	0	1	0	0	0	1
2003	3	32	1	0	6	4	16	87	1	1	1	1	1	1	1	1	0	1	0	0
2003	4	32	2	0	6	4	16	243	1	1	1	1	1	0	1	0	0	0	0	0
2004	1	32	3	1	0	0	16	278	1	1	1	1	1	0	1	0	0	0	0	0
2004	3	32	5	0	6	2	17	306	1	1	1	1	1	1	1	1	0	1	0	0
2004	4	32	6	0	2	2	17	136	1	1	1	0	1	1	1	1	1	1	0	0
2005	1	32	7	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	2	32	8	0	1	1	17	220	1	1	1	1	1	1	1	1	0	1	0	0
2003	3	33	1	0	7	5	8	19	1	1	1	1	1	1	0	0	0	0	0	0
2003	4	33	2	0	8	3	8	25	1	0	1	0	1	0	1	1	0	0	0	1
2004	1	33	3	0	10	7	8	21	1	1	1	0	1	0	1	1	0	0	0	0
2004	2	33	4	0	8	6	12	16	1	1	1	0	0	1	0	0	0	0	0	0
2004	3	33	5	0	10	2	8	34	1	1	1	0	1	1	1	1	0	0	0	1
2004	4	33	6	0	8	2	9	30	1	1	1	0	1	0	0	1	0	0	0	0
2005	1	33	7	0	3	3	9	0	1	0	1	0	1	1	1	1	0	0	0	0
2005	2	33	8	0	3	2	9	27	1	0	1	0	1	0	0	1	0	0	0	0
2003	4	34	2	0	2	1	12	14	1	1	0	0	0	0	0	1	0	0	0	0
2004	1	34	3	0	2	1	14	13	0	1	0	0	0	0	0	0	0	0	0	0
2004	2	34	4	0	2	1	12	14	0	1	0	0	0	0	0	0	0	0	0	0
2004	3	34	5	0	2	0	13	0	1	1	1	0	0	1	1	1	0	0	0	1
2004	4	34	6	0	2	1	9	4	1	0	1	0	0	1	0	0	0	0	0	0
2005	1	34	7	1	2	0	18	17	1	1	1	0	0	1	0	0	0	0	0	0
2005	2	34	8	0	1	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
2003	3	35	1	0	3	3	20	2	1	1	1	0	0	0	1	1	0	0	0	1
2003	4	35	2	0	4	4	21	299	1	1	1	1	1	1	1	1	0	0	0	1
2004	1	35	3	0	4	4	23	372	1	1	1	1	1	1	1	1	0	0	0	1
2004	2	35	4	0	5	5	23	189	0	1	1	1	1	0	1	1	0	0	0	1
2004	3	35	5	0	5	4	23	5	1	1	1	1	0	1	1	1	0	0	0	1
2004	4	35	6	0	5	3	27	349	1	1	1	1	1	1	1	1	0	1	0	1
2005	1	35	7	0	4	3	26	349	1	1	1	1	1	0	1	1	0	0	0	1
2005	2	35	8	0	4	3	26	29	1	1	1	1	1	1	1	1	0	0	0	1
2003	3	36	1	1	9	7	4	2	1	0	1	0	0	1	0	0	0	0	0	0
2003	4	36	2	0	9	7	4	2	1	0	1	0	0	1	0	0	0	0	0	0
2004	1	36	3	0	9	4	4	3	1	1	1	0	0	1	0	0	0	0	0	0
2004	2	36	4	0	9	5	4	1	1	0	1	0	0	1	0	0	0	0	0	0
2004	3	36	5	0	8	4	6	2	1	0	1	0	0	1	0	0	0	0	0	0
2004	4	36	6	0	8	4	5	6	1	1	1	1	0	1	0	0	0	0	0	0
2005	1	36	7	0	8	6	5	8	1	1	1	0	0	1	0	0	0	0	0	0
2005	2	36	8	0	8	4	4	2	1	0	1	0	0	1	0	0	0	0	0	0
