ID	Rivername	Easting	Northing	Altitude	Forested	Date	Date2	FieldpH	pH	Temperature	SDI
156	BeltraInflow	110076	295926	127	1	19-Feb-03	95	6.77	7.28	4	63.5655882
157	Clydagh	114276	296564	96	2	19-Feb-03	95	8.54	7.93	3.4	35.25545167
158	Little	127614	291121	91	2	19-Feb-03	95	8.22	7.82	2.7	21.8052726
159	Addergoole	112100	301900	111	2	19-Feb-03	95	7.77	7.65	3.5	42.91999501
163	Glore	144870	285164	56	2	19-Feb-03	95	8.2	8.09	3.7	13.07804084
164	Derrycraff	102399	270701	172	2	19-Feb-03	95	7.7	7.16	3.7	56.05133584
165	Aille	103355	270843	165	2	19-Feb-03	95	8.32	7.73	4	40.84690554
201	Owennabrockagh	107675	292873	92	2	19-Feb-03	95	NA	7.54	3.1	45.89161696
213	Dodder(Dublin)	311015	220233	187	2	19-Feb-03	95	NA	6.2	NA	68.9564674
104	BurncourtRiver	193073	118796	158	1	20-Feb-03	96	7.73	7.36	4.8	35.44303797
105	GlenaryRiver	217136	119425	65	2	20-Feb-03	96	7.04	7.04	5.1	57.75862069
106	RiverNeir	222100	113500	87	1	20-Feb-03	96	7.45	7.33	4	36.8852459
107	GlashaRiver	228910	119413	135	2	20-Feb-03	96	7.46	7.3	5.4	46.51162791
108	LingaunRiver	241856	129481	61	2	20-Feb-03	96	8.3	8.1	5.4	24.85380117
145	Owenwee	154500	380100	138	2	20-Feb-03	96	7.46	7.68	2.4	49.02642536
166	Glenlaur	91809	269479	115	2	20-Feb-03	96	7.96	7.16	3.2	58.55123233
167	Owenmore(Westport)	91482	274285	98	1	20-Feb-03	96	7.4	7.75	2.6	37.62796203
168	Glenummera	87157	267549	72	2	20-Feb-03	96	7.57	7.16	3.6	51.65841292
169	Carrownisky	82067	272385	72	2	20-Feb-03	96	7.92	7.29	2.3	54.16091306
170	Bunowen	85199	275087	73	2	20-Feb-03	96	7.72	7.4	1.9	55.06901263
171	FooeyAnon	93662	259202	136	2	20-Feb-03	96	7.46	7.1	4.2	36.2524727
172	Srahnalong	100019	261635	106	2	20-Feb-03	96	8	7.68	4.4	52.02630836
173	Cammaght	96325	256855	81	2	20-Feb-03	96	8.14	7.66	3.6	54.50264559
174	Dooghta	98477	254460	69	2	20-Feb-03	96	7.94	7.85	5	33.63177477
175	Joyce'sRiver	89562	259313	76	1	20-Feb-03	96	7.95	7.38	3.2	62.17784926
225	ClodyRiver	286174	155341	126	1	22-Feb-03	98	7.39	7.26	11	43.74273121
226	ClodyTrib.	285828	156078	175	2	22-Feb-03	98	6.62	7.49	11.3	32.17664902
109	DripseyRiver	145704	81122	150	2	24-Feb-03	98	7.21	7.03	7.6	41.26984127
110	GlenRiver	143504	89404	200	1	24-Feb-03	98	7.13	7.15	7.4	47.94520548
111	OwenaglugginRiver	141336	89791	215	1	24-Feb-03	98	7.07	7.08	7.3	51.44927536
112	RiverLaney	138085	82370	235	1	24-Feb-03	98	6.76	6.89	7.2	53.95683453
211	GlencullenRiver	319105	219463	195	2	24-Feb-03	98	7.32	7.66	5.6	45.82917339
113	OllatrimRiver	197594	181251	100	2	25-Feb-03	99	8.05	8.03	7.5	19.3236715
114	ClodiaghRiver	198171	165020	151	2	25-Feb-03	99	7.85	7.93	6.9	25.76923077
115	MulkearRiver	183503	168442	198	1	25-Feb-03	99	7.62	7.82	7	32.56880734
116	MulteenRiver	191901	153008	196	2	25-Feb-03	99	7.66	7.8	8	22.34042553
117	AughnaglannyRiver	198147	149305	120	2	25-Feb-03	99	8.13	8.1	7.8	20.37617555
118	AttychraanRiver	188039	118785	119	1	25-Feb-03	99	7.14	7.4	8	33.79310345
119	ErkinaRiver	234125	177769	90	2	26-Feb-03	100	7.98	8.18	7.8	10.86956522
120	RiverSuir(headwaters)	213547	177594	120	2	26-Feb-03	100	8.05	8.17	7.5	10.78582435
121	MunsterRiver	235059	152429	142	2	26-Feb-03	100	8.03	8.15	7.3	22.58064516
122	LittleArrigleRiver	256744	139870	39	2	26-Feb-03	100	8	8.1	8.6	26.51006711
123	AnnerRiver	228617	140671	75	2	26-Feb-03	100	8.1	8.22	8	23.26869806
124	ClashawleyRiver	219910	136269	79	2	26-Feb-03	100	8.1	8.19	8.8	15.98360656
125	RiverAra	195587	133088	78	2	26-Feb-03	100	7.83	7.9	9.5	28.30725462
126	ThonogeRiver	198345	122303	120	1	27-Feb-03	101	6.18	6.48	7.7	61.81818182
127	GeeraghRiver	182860	119070	288	1	27-Feb-03	101	7.33	7.55	7.9	28.43137255
128	AtherlowTrib1	191456	128205	141	1	27-Feb-03	101	7.58	7.75	7.9	26.9058296
129	AtherlowTrib2	198001	128376	86	1	27-Feb-03	101	6.34	6.51	7.8	60.90909091
130	GlengallaRiver	207834	112099	86	1	27-Feb-03	101	6.94	7.15	8.5	50.89285714
131	RiverDuagTrib	202762	111400	179	2	27-Feb-03	101	6.71	7.06	8.6	61.11111111
176	Athdown(Liffey)	307947	214487	251	1	07-Mar-03	109	6.04	6.42	7.1	53.34980138
179	CloghogeRiver	314365	209944	402	2	19-Mar-03	121	6.52	7.3	4.6	61.53701138
180	BoleyhorriganBr.	316277	208655	498	1	19-Mar-03	121	7.05	6.52	4.4	69.28876262
181	Vartry(V4)	318876	206938	556	1	19-Mar-03	121	6.06	6.12	7.4	67.33900939
182	Vartry(V1)	319288	204005	598	2	19-Mar-03	121	7.26	7.34	6.9	58.55566656
183	BallylowBrook	306795	213374	304	2	19-Mar-03	121	6.33	6.98	7.5	67.17255427
184	BallydonnellBrook	306037	212993	128	2	19-Mar-03	121	7.36	7.14	7.1	66.39464605
185	Brown'sBeckBrook	293285	198469	245	2	19-Mar-03	121	7.01	7.54	8.6	35.21051383
186	Glenmacnass	311362	203005	654	1	19-Mar-03	121	6.66	6.53	6.2	65.67338675
187	Glendassan	309376	199273	703	2	19-Mar-03	121	6.84	7.13	8.2	26.21089365
188	Glashboy	306632	201662	750	1	19-Mar-03	121	6.79	6.69	6.1	61.71702525
189	Annalecka	305646	201890	780	1	19-Mar-03	121	5.48	6.18	7.6	61.64543759
190	Ballinagee(Kings)	303631	202401	880	1	19-Mar-03	121	6.09	6.95	8.8	59.90362322
209	SheepbankBr.	315331	209503	413	2	19-Mar-03	121	7.54	7.8	5.7	59.18602616
212	GlenealoRiver	308822	196227	134	2	19-Mar-03	121	7.12	7.1	6	59.05085215
214	Liffey	302276	216126	176	2	19-Mar-03	121	NA	7.49	NA	40.9858547
218	Aughnabrisky	281082	148428	140	2	22-Apr-03	155	7.25	7.24	11	47.31449678
220	Aughavay	285128	144721	92	2	22-Apr-03	155	6.47	7.38	10.3	35.22355554
221	Urrin	286391	148568	109	2	22-Apr-03	155	6.18	7.04	10.6	54.63346178
227	BallycarneyStr.	299100	150400	150	2	22-Apr-03	155	7.44	7.24	10.8	39.08950535
228	Glashna	289755	149781	84	2	22-Apr-03	155	5.88	7.67	12.1	34.39861131
229	YellowRiver(W.Meath)	253187	236942	72	2	28-Apr-03	160	7.74	8.32	11.3	6.309373859
230	Camoge	224065	269183	77	2	28-Apr-03	160	8.3	8.67	10.3	11.38070803
231	Annadale	203509	309972	63	2	28-Apr-03	160	6.92	7.68	10.6	23.2201325
232	Aghacashlaun	204877	310890	61	2	28-Apr-03	160	7.36	7.49	10.1	32.06174212
233	Blackwater	215461	319636	84	2	28-Apr-03	160	6.51	6.53	9.6	40.68135849
234	Bawnboy	220952	317782	43	2	28-Apr-03	160	7.17	8.13	12.4	14.26681217
235	TempleportL.Str.	223063	317614	59	2	28-Apr-03	160	7.43	7.72	10.3	27.25168509
236	Scotstown	260071	339709	83	2	28-Apr-03	160	6.98	7.58	10	23.11730091
237	MountainWater	262703	343961	100	2	28-Apr-03	160	7.54	7.78	10.1	16.69610067
238	LarahRiver	252923	311257	62	2	29-Apr-03	161	7.94	8.54	10.6	20.9631229
239	DrumkerryL.Str.	266288	299803	139	2	29-Apr-03	161	7.13	7.99	12	30.15551903
240	ChapelL.Str.	261054	293539	104	2	29-Apr-03	161	8.12	8.61	12	40.60874893
242	Annalee	272328	305928	92	2	29-Apr-03	161	7.28	7.76	10.4	20.86764442
243	Big	315353	309769	97	2	29-Apr-03	161	7.98	8.22	10.5	21.03820786
244	WhiteMountain	295802	284439	134	2	29-Apr-03	161	7.62	8.38	11.5	11.99675082
245	White	301400	284600	116	2	29-Apr-03	161	8.11	8.76	10.4	18.3816896
255	BallycreenBrook	311604	183153	150	1	03-May-03	165	6.27	7.24	10.8	41.80367845
246	DouglasRiver	292755	181638	112	2	06-May-03	165	7.23	7.23	11.8	15.83906985
247	MineRiver	297775	163973	56	2	06-May-03	165	6.83	6.83	11.8	28.553749
248	PennyBrook	290949	161321	53	2	06-May-03	165	7.41	7.41	10.4	23.67213807
249	Carraioge	304968	177164	104	2	06-May-03	165	6.87	7.53	11.4	35.96293656
250	ScotlandBrook	298281	180719	134	2	06-May-03	165	6.91	7.45	11.8	28.37256647
251	Derren	298178	181059	124	2	06-May-03	165	7	7.64	11.7	36.90167644
252	DerryWater	307483	174981	63	2	06-May-03	165	6.98	7.39	11.9	35.61278522
253	Coolboy	306972	167502	120	1	06-May-03	165	7.19	7.19	11.4	48.18107928
254	DerryRiver	301800	174800	55	2	06-May-03	165	6.8	7.14	11.2	36.30357547
256	OwRiver	305572	186129	189	1	06-May-03	165	6.5	4.92	12.1	58.49126668
257	CarrickBrook	299800	175280	54	2	06-May-03	165	7.2	7.1	12.9	34.50067103
