Tb	SEX	AgeClass	LengthCT
0	2	2	108
0	1	3	108.5
0	1	2	108.5
1	1	3	108.7
NA	2	3	108.8
1	NA	3	109
NA	1	3	109.4
0	2	2	109.5
1	2	3	110
0	1	3	110
0	1	3	110.5
1	1	3	110.6
0	1	2	110.8
1	1	3	111.5
0	2	3	111.5
NA	2	3	112
1	2	3	112
0	1	3	112
0	NA	3	112
0	NA	3	112
0	1	3	112
0	1	3	112
0	1	3	112
1	2	3	112.4
1	1	3	113
1	2	3	113
0	1	3	113
0	2	3	113
1	1	3	113.5
1	2	3	113.5
0	1	3	113.5
NA	1	3	114
1	1	3	114
1	2	3	114
1	2	3	114
1	2	2	114
1	2	3	114
1	2	3	114
0	2	3	114
0	2	3	114
0	2	3	114
0	2	3	114
1	2	3	114.5
1	1	3	115
0	NA	3	115
0	2	3	115
0	2	3	115.5
0	2	3	115.8
NA	1	3	116
1	2	3	116
1	2	3	116
0	2	3	116
0	2	3	116.5
0	2	3	116.5
1	2	3	117
0	2	3	117
0	2	3	117
0	1	3	117
0	2	3	117
0	1	3	117
0	2	3	117
0	2	3	117.4
NA	1	3	118
1	1	3	118
1	2	3	118
1	2	3	118
1	2	3	118
0	2	3	118
0	2	3	118
0	2	3	118
0	2	3	118
0	1	3	118.3
NA	1	3	118.5
1	1	3	118.5
1	2	3	118.5
0	1	3	118.5
1	2	3	118.6
0	2	3	118.8
0	2	3	118.9
1	2	4	119
1	2	3	119
1	1	3	119
1	2	4	119
1	2	3	119
1	2	3	119
0	1	3	119
0	1	3	119
1	1	3	119.3
1	2	3	119.5
1	2	3	119.5
0	1	3	119.5
0	1	3	119.5
0	2	3	119.8
NA	1	4	120
NA	1	3	120
NA	2	3	120
1	1	3	120
1	2	3	120
1	1	3	120
1	1	3	120
1	2	3	120
1	2	3	120
0	1	3	120
0	2	4	120
0	2	3	120
1	1	3	120.5
1	2	3	120.5
0	2	3	120.5
0	1	3	120.5
0	1	3	120.5
1	1	4	121
1	1	3	121
0	1	3	121
0	2	3	121
0	2	3	121
0	2	4	121
NA	1	3	121.5
1	1	3	121.5
0	1	4	121.5
NA	1	4	122
1	1	3	122
1	2	3	122
1	2	2	122
1	2	3	122
0	1	3	122
0	2	3	122
0	1	3	122
0	2	3	122
1	2	4	122.3
1	1	3	122.5
NA	2	3	122.7
0	1	3	122.8
1	2	3	123
1	1	3	123
0	1	3	123
0	2	3	123
0	1	3	123
0	2	4	123
0	2	3	123
0	2	3	123
0	2	3	123
1	2	3	123.2
NA	1	3	123.5
0	1	3	123.5
0	2	4	123.5
1	1	3	123.7
1	1	3	124
1	1	3	124
1	2	3	124
0	1	3	124
0	2	3	124
0	1	4	124
0	2	4	124
0	2	4	124
0	2	3	124
1	2	3	124.5
1	1	4	124.5
1	2	3	124.5
0	2	3	124.5
1	2	4	124.8
0	2	3	124.9
NA	1	3	125
1	2	3	125
1	2	3	125
1	1	4	125
1	2	4	125
1	NA	3	125
0	2	4	125
0	2	3	125
0	2	3	125
0	2	3	125
0	2	3	125
0	2	3	125
0	2	3	125.2
1	2	4	125.5
1	2	3	125.5
1	2	3	125.5
0	1	3	125.5
0	2	4	125.5
1	1	4	125.6
NA	1	4	126
1	1	3	126
1	2	4	126
1	2	4	126
1	1	3	126
1	1	3	126
0	1	3	126
0	2	4	126
0	2	3	126
1	2	4	126.2
0	2	3	126.5
NA	2	4	127
1	1	4	127
1	1	3	127
1	2	4	127
1	2	4	127
1	2	4	127
1	2	4	127
1	2	3	127
1	2	4	127
1	1	4	127
1	1	4	127
1	1	3	127
1	2	4	127
1	2	4	127
1	2	4	127
0	1	4	127
0	2	4	127
0	2	4	127
0	1	4	127
0	2	4	127
0	2	3	127
1	2	4	127.4
1	2	3	127.5
1	2	3	127.5
0	2	4	127.5
NA	2	4	128
1	2	4	128
1	2	4	128
1	1	4	128
1	2	3	128
0	1	4	128
0	2	4	128
0	2	4	128
0	2	4	128
0	2	3	128
0	1	4	128
0	2	4	128
0	2	4	128
0	2	3	128
0	2	3	128
1	1	4	128.3
1	1	3	128.5
0	2	4	128.5
0	2	4	128.5
1	2	4	128.7
0	2	4	128.7
1	2	4	128.8
NA	2	4	129
1	1	4	129
1	2	4	129
1	2	4	129
1	1	4	129
1	2	4	129
1	2	4	129
0	1	4	129
0	2	4	129
1	2	4	129.3
1	2	4	129.7
0	2	4	129.8
1	1	4	130
1	2	4	130
1	2	4	130
1	2	4	130
0	2	4	130
NA	2	4	130.5
1	1	4	130.5
0	NA	4	130.5
0	1	4	130.5
1	1	4	131
1	1	4	131
1	1	4	131
1	2	4	131
1	2	4	131
1	1	4	131
1	1	4	131
1	1	4	131
1	2	4	131
1	2	4	131
1	2	4	131
0	1	4	131
0	1	4	131
0	2	4	131
0	2	4	131
0	2	4	131.3
1	1	3	131.5
1	2	4	131.5
1	1	4	131.5
1	2	4	131.5
0	2	4	131.5
0	2	4	131.5
NA	1	4	132
1	1	4	132
0	2	4	132
0	2	4	132
0	2	4	132
0	1	4	132
0	2	4	132
1	2	4	132.2
1	2	4	132.3
1	1	4	132.5
1	2	4	132.5
1	2	4	132.5
0	2	4	133
0	1	4	133
0	2	4	133
0	1	4	133
1	2	4	133.5
1	2	4	133.8
1	1	4	134
1	2	4	134
1	1	4	134
0	1	4	134
0	1	4	134
0	2	4	134
NA	2	4	135
1	1	4	135
1	2	4	135
1	2	4	135
1	2	4	135
0	2	4	135
0	1	4	135
0	2	4	135
0	2	4	135
0	2	4	135
1	2	4	135.2
1	1	4	135.5
1	1	4	135.5
1	1	4	135.5
1	2	4	135.5
1	1	4	136
1	2	4	136
1	2	4	136
1	2	4	136
0	2	4	136
0	1	4	136
0	2	4	136
NA	2	4	136.5
0	1	4	136.5
0	2	4	136.8
1	1	4	137
1	2	4	137
1	2	4	137
0	1	4	137
0	2	4	137
0	2	4	137.3
NA	2	4	137.5
1	1	4	138
1	2	4	138
1	2	4	138
0	2	4	138
0	2	4	138
1	2	4	138.2
0	1	4	138.5
0	1	4	138.5
1	1	4	139
1	1	4	140
1	1	4	140
1	2	4	140
1	1	4	140
1	1	4	140
1	1	4	140
0	2	4	140
0	2	4	140
0	2	4	140
0	2	4	140
1	1	4	141
1	1	4	141
1	2	4	141
1	2	4	141
0	1	4	141
1	1	4	141.5
1	1	4	141.5
1	1	4	142
1	2	4	142
1	1	4	142
1	1	4	142
0	2	4	142
0	2	4	142
1	2	4	143
1	2	4	143
1	1	4	143
1	1	4	143
1	1	4	143
0	1	4	143
1	1	4	144
1	1	4	144
0	1	4	144
1	1	4	145
0	1	4	146
0	1	4	146
1	1	4	147
0	1	4	147
0	1	4	154
1	1	4	165
NA	1	4	NA
NA	1	4	NA
NA	1	4	NA
NA	1	4	NA
NA	1	4	NA
NA	1	4	NA
NA	1	4	NA
NA	1	4	NA
NA	1	3	NA
NA	1	2	NA
NA	2	NA	NA
NA	2	4	NA
NA	2	3	NA
NA	2	2	NA
NA	2	2	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
NA	NA	NA	NA
1	1	4	NA
1	1	4	NA
1	1	4	NA
1	1	4	NA
1	1	3	NA
1	1	3	NA
1	1	3	NA
1	2	NA	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	3	NA
1	2	3	NA
1	2	3	NA
1	2	3	NA
1	2	3	NA
1	2	3	NA
1	2	2	NA
1	NA	NA	NA
1	NA	3	NA
1	NA	3	NA
1	NA	3	NA
1	NA	2	NA
1	NA	2	NA
1	1	4	NA
1	2	4	NA
1	2	4	NA
1	1	4	NA
1	1	4	NA
1	1	4	NA
1	1	4	NA
1	1	3	NA
1	1	3	NA
1	1	3	NA
1	1	3	NA
1	1	3	NA
1	1	2	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	4	NA
1	2	2	NA
0	1	4	NA
0	1	3	NA
0	1	3	NA
0	1	2	NA
0	1	2	NA
0	1	2	NA
0	2	4	NA
0	2	4	NA
0	2	4	NA
0	2	4	NA
0	2	4	NA
0	2	4	NA
0	2	3	NA
0	2	3	NA
0	2	3	NA
0	2	3	NA
0	2	3	NA
0	2	3	NA
0	2	2	NA
0	2	2	NA
0	2	2	NA
0	2	2	NA
0	2	2	NA
0	2	2	NA
0	NA	2	NA
0	NA	2	NA
0	NA	2	NA
0	NA	2	NA
0	NA	2	NA
0	NA	2	NA
0	NA	2	NA
0	1	4	NA
0	1	3	NA
0	1	3	NA
0	2	4	NA
0	2	4	NA
0	2	4	NA
0	NA	2	NA
0	NA	2	NA
