RECORD	ID	Month	Time	AGE	Sex	Bplumage	Period	IntakeRate
111	10	7	2.55	2	0	0	2	0.127552448
112	10	7	2.666666667	1	1	40	2	0.11707971
113	10	7	2.75	1	2	40	2	0.098687097
114	10	7	2.95	1	1	0	2	0.264315412
115	10	7	3.133333333	1	2	40	2	0.16923569
116	10	7	3.333333333	1	2	40	2	0.173981413
117	10	7	3.5	1	2	40	2	0.238096085
118	10	7	3.616666667	1	1	0	2	0.131816327
119	10	7	3.733333333	1	2	0	2	0.105284153
120	10	7	3.916666667	1	2	40	2	0.207195219
121	11	7	-0.033333333	1	2	0	2	0.137177843
122	11	7	0.383333333	1	2	0	2	0.118882096
123	11	7	0.516666667	1	2	0	2	0.225889734
124	11	7	2.8	2	0	0	2	0.065861111
125	11	7	2.916666667	2	0	0	2	0.051232704
126	11	7	3.15	2	0	0	2	0.069436242
127	12	8	-1.8	2	0	0	2	0.104144628
128	12	8	-1.666666667	2	0	0	2	0.136508475
129	12	8	-1.516666667	2	0	0	2	0.045308725
130	12	8	-1.333333333	2	0	0	2	0.130746753
131	12	8	-1.166666667	2	0	0	2	0.16504
132	12	8	-1.066666667	2	0	0	2	0.120645695
133	12	8	-0.966666667	2	0	0	2	0.040170616
134	13	9	0.333333333	1	2	0	0	0.117380435
135	13	9	0.5	1	1	0	0	0.055887043
136	13	9	0.833333333	1	2	0	0	0.124172414
137	13	9	1	1	2	0	0	0.08705597
138	13	9	1.083333333	1	2	0	0	0.076498113
139	13	9	1.266666667	1	2	0	0	0.169345196
140	13	9	1.666666667	1	2	0	0	0.184435424
143	13	9	2.833333333	2	0	0	0	0.105790076
144	13	9	3.166666667	1	1	0	0	0.142673228
145	13	9	3.416666667	1	1	0	0	0.081060201
146	13	9	3.5	1	1	0	0	0.042913793
147	13	9	3.666666667	1	1	0	0	0.058207547
148	13	9	3.75	1	2	0	0	0.024638889
149	14	9	1.65	1	2	0	0	0.030851064
150	14	9	1.75	1	1	0	0	0.08926257
151	14	9	1.883333333	1	1	0	0	0.14102649
152	14	9	2.116666667	1	1	0	0	0.037495601
153	14	9	2.25	1	2	0	0	0.213234756
154	14	9	2.45	1	1	0	0	0.074075601
155	14	9	2.75	1	1	0	0	0.023488746
156	14	9	3	1	1	0	0	0.30732969
157	14	9	3.166666667	1	1	0	0	0.18297491
158	14	9	3.55	1	1	0	0	0.035081081
159	14	9	4.25	1	1	0	0	0.087368056
160	14	9	4.416666667	1	1	0	0	0.136922807
161	14	9	4.583333333	1	2	0	0	0.06603125
162	14	9	4.666666667	1	1	0	0	0.114754789
163	14	9	4.833333333	1	1	0	0	0.133403061
164	14	9	5.083333333	1	2	0	0	0.068978799
165	14	9	5.25	1	2	0	0	0.127445283
166	14	9	5.333333333	1	2	0	0	0.072957597
167	15	10	-0.033333333	1	1	0	0	0.099623932
168	15	10	0.383333333	1	2	0	0	0.058268595
169	15	10	0.55	1	2	0	0	0.059147368
170	15	10	0.8	1	1	0	0	0.104272
171	15	10	0.883333333	1	1	0	0	0.138546713
172	15	10	1.216666667	2	0	0	0	0.045382759
173	15	10	1.383333333	1	2	0	0	0.059658537
174	15	10	1.5	2	0	0	0	0.046872038
175	15	10	1.683333333	1	2	0	0	0.521953069
176	15	10	1.816666667	1	1	0	0	0.02095122
177	15	10	2.216666667	1	1	0	0	0.092318937
178	15	10	2.55	1	2	0	0	0.05412749
179	15	10	2.65	1	2	0	0	0.140085714
180	15	10	3.016666667	1	1	0	0	0.051269231
181	15	10	3.2	1	2	0	0	0.109085714
182	15	10	3.316666667	1	1	0	0	0.017255521
183	15	10	3.75	1	2	0	0	0.046268775
184	15	10	3.883333333	1	2	0	0	0.041657609
185	15	10	3.983333333	1	2	0	0	0.021388889
186	16	10	0.416666667	1	1	0	0	0.056447552
187	16	10	0.766666667	1	1	0	0	0.084561644
188	16	10	0.933333333	2	0	0	0	0.135520231
189	16	10	1.05	1	1	0	0	0.041172249
190	16	10	1.25	1	1	0	0	0.029583333
191	16	10	1.933333333	1	2	0	0	0.105862319
192	16	10	2.05	2	0	0	0	0.051859935
193	16	10	2.466666667	1	1	0	0	0.030748299
194	16	10	2.6	1	2	0	0	0.041478417
195	16	10	2.8	1	2	0	0	0.040641026
196	17	11	0	1	2	0	0	0.235174349
197	17	11	0.116666667	2	0	0	0	0.126129921
199	17	11	0.783333333	1	2	0	0	0.367448819
200	17	11	0.833333333	1	2	0	0	0.059932039
201	17	11	0.95	1	2	0	0	0.267442105
202	17	11	1.033333333	2	0	0	0	0.470609428
203	17	11	1.15	2	0	0	0	0.25475043
204	17	11	1.266666667	2	0	0	0	0.332739496
205	17	11	1.466666667	1	2	0	0	0.313461664
206	17	11	1.733333333	1	2	0	0	0.460589091
207	17	11	1.916666667	2	0	0	0	0.009548872
208	17	11	2.15	2	0	0	0	0.268523466
209	17	11	2.366666667	1	2	0	0	0.403243243
210	17	11	2.533333333	1	2	0	0	0.513283276
211	17	11	2.866666667	2	0	0	0	0.661262774
212	18	11	-0.283333333	1	1	0	0	0.055242647
213	18	11	-0.2	1	2	0	0	0.378785992
214	18	11	-0.033333333	1	1	0	0	0.120825726
215	18	11	0.55	2	0	0	0	0.052300676
216	18	11	0.8	2	0	0	0	0.043661765
217	18	11	0.966666667	2	0	0	0	0.41826971
218	18	11	1.216666667	2	0	0	0	0.03937037
219	18	11	3.05	2	0	0	0	0.029728261
222	18	11	3.55	1	1	0	0	0.075658291
223	18	11	3.916666667	1	1	0	0	0.08129316
224	18	11	4.216666667	1	1	0	0	0.176993485
225	19	12	-0.75	2	0	0	0	0.208448529
226	19	12	-0.55	2	0	0	0	0.373684028
227	19	12	-0.15	2	0	0	0	0.583144487
228	19	12	-0.1	2	0	0	0	0.334952727
229	19	12	0.15	1	2	0	0	0.409533333
230	19	12	0.516666667	1	1	0	0	0.287253333
231	19	12	0.616666667	1	2	0	0	0.180394366
232	19	12	0.816666667	1	2	0	0	0.322972125
233	19	12	0.95	1	1	0	0	0.176520076
234	19	12	1.516666667	1	2	0	0	0.266185185
235	19	12	1.616666667	1	2	0	0	0.248715278
236	19	12	1.666666667	1	2	0	0	0.107517129
237	19	12	1.733333333	2	0	0	0	0.414131356
238	19	12	1.933333333	1	1	0	0	0.310690972
239	19	12	2.033333333	1	2	0	0	0.377071429
240	19	12	2.233333333	1	2	0	0	0.322113074
241	19	12	2.35	1	1	0	0	0.120617241
242	20	12	-0.633333333	2	0	0	0	0.051974453
243	20	12	-0.116666667	2	0	0	0	0.15787234
244	20	12	-0.016666667	1	2	0	0	0.1237125
245	20	12	0.15	2	0	0	0	0.089419929
246	20	12	0.283333333	2	0	0	0	0.13522291
247	20	12	0.433333333	1	2	0	0	0.196335366
248	20	12	0.633333333	2	0	0	0	0.110349206
249	20	12	0.733333333	1	2	0	0	0.074126246
250	20	12	0.85	1	2	0	0	0.179937908
251	20	12	0.966666667	2	0	0	0	0.230287273
252	20	12	1.183333333	2	0	0	0	0.360686813
253	20	12	1.233333333	2	0	0	0	0.271222222
254	20	12	1.366666667	1	2	0	0	0.153529412
255	20	12	1.533333333	2	0	0	0	0.138871383
256	20	12	2.383333333	1	2	0	0	0.047390863
257	20	12	2.65	1	1	0	0	0.082285714
258	20	12	2.85	2	0	0	0	0.074317627
259	20	12	3.066666667	1	2	0	0	0.034819588
