Specimen	YEAR	MONTH	DML	Testisweight
1028	1991	10	282	1.415
1006	1990	9	218	1.421
1020	1990	9	320	1.463
1053	1991	9	260	1.466
1010	1989	12	149	1.47
1030	1991	10	154	1.473
1007	1990	8	293	1.518
1066	1990	9	279	1.52
1013	1990	9	213	1.536
1001	1990	10	282	1.56
1006	1991	10	182	1.564
1022	1991	10	164	1.579
1013	1991	5	193	1.614
1016	1990	9	274	1.653
1024	1991	10	163	1.682
1057	1990	11	176	1.686
1035	1990	11	180	1.686
1002	1991	7	206	1.714
1055	1990	7	179	1.715
1027	1991	10	258	1.717
1039	1990	11	202	1.722
1027	1990	11	192	1.726
1002	1991	5	139	1.758
1004	1990	9	306	1.764
1025	1991	10	167	1.778
1013	1991	10	258	1.785
1011	1991	4	162	1.831
1017	1991	5	195	1.847
1058	1990	11	220	1.849
1019	1991	4	213	1.858
1035	1991	9	270	1.859
1005	1991	10	190	1.866
1004	1990	11	208	1.906
1013	1991	4	178	1.93
1029	1991	10	177	1.934
1025	1990	11	164	1.968
1002	1990	3	245	1.975
1058	1990	7	310	1.983
1001	1991	9	261	2.012
1030	1991	10	250	2.016
1003	1991	5	158	2.02
1029	1990	9	290	2.022
1001	1989	12	139	2.027
1002	1990	3	149	2.059
1017	1991	10	135	2.061
1045	1990	11	205	2.068
1027	1991	10	159	2.078
1012	1991	10	138	2.082
1052	1990	8	259	2.09
1023	1991	4	224	2.098
1018	1991	5	224	2.11
1012	1990	12	132	2.125
1048	1991	9	212	2.133
1024	1990	10	208	2.151
1047	1990	11	150	2.155
1009	1991	10	192	2.158
1006	1990	3	185	2.176
1004	1991	4	141	2.18
1053	1990	8	193	2.186
1004	1991	10	197	2.191
1037	1990	8	313	2.223
1026	1990	11	153	2.235
1064	1991	4	197	2.252
1026	1991	10	169	2.265
1003	1991	10	204	2.305
1005	1991	4	145	2.306
1033	1991	5	434	2.309
1010	1991	10	308	2.309
1019	1990	8	298	2.31
1006	1990	10	216	2.319
1001	1990	9	267	2.334
1012	1991	5	195	2.339
1031	1990	8	261	2.348
1054	1990	11	193	2.348
1051	1990	11	150	2.373
1016	1991	3	203	2.384
1030	1990	12	150	2.399
1007	1990	3	258	2.436
1022	1991	10	146	2.436
1018	1991	4	213	2.465
1025	1991	5	317	2.468
1033	1990	11	284	2.5
1005	1991	5	170	2.502
1004	1991	2	189	2.515
1005	1990	9	245	2.531
1015	1991	2	186	2.533
1004	1990	10	224	2.552
1024	1991	2	190	2.582
1018	1991	10	260	2.596
1008	1991	4	177	2.626
1014	1991	5	192	2.628
1028	1991	3	300	2.663
1006	1991	5	152	2.67
1002	1991	10	203	2.698
1020	1991	4	206	2.719
1057	1990	9	347	2.72
1014	1991	2	179	2.721
1004	1990	9	215	2.735
1004	1991	7	387	2.752
1026	1991	2	186	2.757
1005	1990	3	172	2.758
1018	1990	9	280	2.76
1077	1990	11	163	2.762
1015	1991	4	189	2.773
1003	1991	10	163	2.779
1012	1991	2	198	2.794
1079	1990	11	162	2.823
1030	1991	5	375	2.825
1004	1991	3	140	2.853
1004	1990	3	214	2.854
1064	1990	9	271	2.873
1010	1991	2	180	2.884
1055	1991	9	265	2.9
1008	1991	3	238	2.912
1022	1991	5	285	2.917
1020	1991	6	205	2.92
1020	1991	10	140	2.925
1008	1990	10	264	2.97
1021	1991	4	208	2.994
1006	1991	2	197	3.005
1032	1990	11	160	3.05
1008	1990	9	183	3.069
1002	1991	10	182	3.077
1007	1991	4	170	3.079
1060	1991	2	143	3.081
1021	1990	12	153	3.1
1021	1990	11	217	3.101
1005	1990	10	180	3.11
1046	1990	11	164	3.124
1001	1991	9	270	3.155
1020	1991	2	154	3.158
1014	1990	12	175	3.172
1004	1990	3	173	3.173
1049	1990	11	166	3.18
1054	1991	9	248	3.181
1001	1991	9	259	3.188
1017	1991	10	189	3.2
1013	1991	10	196	3.202
1035	1991	5	398	3.211
1075	1990	11	166	3.248
1032	1990	12	166	3.248
1060	1990	9	299	3.258
1072	1990	11	205	3.267
1027	1991	10	168	3.288
1013	1991	2	164	3.296
1064	1990	11	212	3.3
1071	1990	11	159	3.31
1006	1989	12	240	3.316
1019	1991	2	167	3.317
1011	1991	2	199	3.345
1016	1991	5	215	3.35
1018	1991	10	198	3.368
1002	1991	2	178	3.377
1043	1990	9	322	3.397
1019	1991	5	255	3.419
1018	1991	2	158	3.423
1003	1990	8	308	3.429
1028	1991	5	340	3.45
1025	1991	10	269	3.488
1035	1990	12	165	3.497
1002	1990	4	240	3.5
1021	1991	5	264	3.506
1001	1990	3	431	3.516
1004	1991	5	150	3.551
1006	1991	9	268	3.552
1027	1991	3	347	3.562
1058	1991	2	164	3.57
1012	1991	3	224	3.579
1011	1991	5	166	3.602
1003	1990	10	208	3.603
1004	1990	3	187	3.606
1067	1990	11	231	3.606
1001	1990	3	182	3.618
1034	1990	12	151	3.618
1018	1990	11	167	3.62
1024	1991	5	307	3.632
1022	1991	4	168	3.644
1017	1990	11	198	3.654
1009	1991	4	181	3.658
1019	1989	12	177	3.676
1059	1991	2	150	3.699
1023	1991	6	209	3.717
1009	1990	12	169	3.749
1034	1991	9	215	3.758
1011	1991	1	182	3.769
1006	1991	4	152	3.793
1001	1990	3	166	3.798
1001	1990	4	316	3.8
1008	1991	10	205	3.835
1002	1990	9	330	3.843
1014	1991	4	192	3.852
1005	1991	2	156	3.864
1006	1991	10	221	3.865
1028	1991	10	179	3.866
1015	1989	12	200	3.893
1009	1990	3	265	3.915
1016	1991	2	180	3.929
1002	1990	3	279	3.943
1008	1990	9	186	3.958
1025	1990	9	200	3.964
1019	1990	12	163	3.981
1056	1991	9	255	3.986
1008	1991	5	170	3.999
1038	1990	11	180	4.004
1055	1990	11	192	4.009
1021	1991	3	210	4.011
1007	1990	9	188	4.014
1001	1990	11	185	4.032
1022	1989	12	194	4.039
1008	1991	1	191	4.069
1032	1991	5	405	4.086
1014	1990	11	197	4.103
1031	1990	12	150	4.131
1073	1990	9	210	4.144
1001	1990	3	239	4.235
1021	1989	12	180	4.24
1001	1990	3	205	4.248
1046	1990	11	230	4.263
1060	1990	11	190	4.291
1025	1991	3	220	4.325
1025	1991	4	218	4.341
1066	1990	11	198	4.348
1006	1990	9	230	4.351
1002	1990	10	209	4.353
1001	1991	10	199	4.353
1005	1990	10	195	4.359
1078	1990	11	183	4.399
1002	1990	4	330	4.4
1029	1990	12	195	4.417
1028	1990	12	200	4.441
1030	1990	11	248	4.455
1061	1990	11	225	4.48
1014	1990	11	194	4.488
1011	1991	10	189	4.489
1001	1990	3	342	4.501
1010	1991	3	225	4.504
1004	1990	11	254	4.523
1024	1991	4	226	4.529
1005	1990	3	216	4.532
1017	1991	3	241	4.567
1022	1990	12	197	4.572
1006	1990	12	212	4.584
1011	1990	12	199	4.586
1017	1990	12	178	4.598
1034	1991	5	413	4.6
1080	1990	11	185	4.602
1011	1991	3	364	4.632
1016	1990	9	231	4.633
1008	1991	2	165	4.636
1009	1991	3	236	4.639
1003	1990	3	277	4.64
1065	1990	11	188	4.66
1014	1991	10	187	4.701
1024	1991	3	306	4.709
1033	1990	12	191	4.716
1003	1991	3	211	4.717
1020	1990	11	180	4.727
1141	1990	11	183	4.751
1026	1991	3	319	4.771
1001	1990	8	283	4.794
1016	1989	12	212	4.813
1009	1990	3	208	4.825
1014	1991	10	278	4.833
1005	1990	3	260	4.86
1050	1990	11	195	4.874
1003	1990	9	350	4.888
1078	1991	2	233	4.891
1026	1991	5	321	4.902
1001	1990	3	179	4.923
1023	1990	12	183	4.957
1047	1990	9	392	4.959
1005	1991	9	288	4.962
1029	1990	11	229	5.001
1011	1991	10	196	5.008
1004	1991	10	210	5.061
1007	1990	9	210	5.085
1004	1990	3	264	5.088
1001	1991	2	258	5.095
1017	1990	9	256	5.103
1027	1991	4	214	5.112
1028	1991	4	242	5.127
1005	1990	9	214	5.129
1028	1990	11	205	5.146
1002	1990	12	310	5.149
1003	1990	11	209	5.152
1020	1991	3	287	5.156
1026	1991	4	238	5.166
1008	1990	11	237	5.167
1007	1991	2	219	5.169
1024	1990	9	341	5.189
1027	1991	6	238	5.199
1003	1990	1	202	5.2
1004	1990	10	250	5.222
1001	1991	9	272	5.233
1023	1991	2	197	5.238
1020	1991	10	272	5.24
1014	1991	3	220	5.246
1029	1991	5	328	5.246
1021	1990	11	232	5.248
1031	1991	5	381	5.285
1029	1991	3	373	5.298
1025	1990	9	277	5.32
1009	1991	5	186	5.322
1005	1990	3	277	5.347
1010	1990	11	219	5.358
1055	1990	11	207	5.386
1016	1990	11	189	5.388
1026	1990	11	198	5.407
1027	1990	12	212	5.416
1026	1990	10	288	5.425
1003	1991	9	233	5.468
1024	1990	12	192	5.496
1044	1990	9	250	5.569
1029	1991	4	270	5.616
1004	1991	9	287	5.618
1050	1990	9	357	5.782
1001	1990	6	368	5.8
1002	1990	3	214	5.81
1011	1990	11	233	5.837
1002	1990	6	340	5.867
1039	1991	9	288	5.869
1025	1990	10	249	5.885
1006	1990	11	247	5.891
1023	1991	5	295	5.95
1037	1990	11	224	5.963
1032	1991	4	336	5.963
1011	1990	9	322	5.98
1029	1990	11	227	6.042
1015	1990	9	300	6.074
1030	1991	4	325	6.127
1004	1990	3	376	6.13
1003	1990	4	340	6.153
1022	1991	3	331	6.162
1002	1990	4	325	6.165
1056	1990	11	218	6.219
1006	1991	3	335	6.272
1007	1991	3	335	6.309
1004	1990	9	315	6.32
1008	1991	10	309	6.321
1033	1991	4	358	6.344
1006	1990	3	360	6.43
1045	1990	7	375	6.439
1001	1990	4	362	6.499
1003	1990	6	321	6.534
1002	1990	1	330	6.553
1048	1990	11	293	6.6
1007	1990	9	205	6.602
1001	1991	3	287	6.603
1019	1991	3	331	6.701
1027	1991	5	339	6.765
1008	1990	3	365	6.784
1036	1991	9	319	6.801
1007	1990	3	248	6.828
1003	1990	3	328	6.848
1017	1991	10	286	6.864
1005	1991	6	353	6.885
1004	1990	4	300	6.913
1020	1991	5	251	6.926
1004	1991	6	370	6.954
1023	1991	3	326	6.991
1006	1991	6	355	7.026
1011	1990	8	305	7.031
1003	1991	9	282	7.095
1001	1990	1	540	7.107
1015	1991	3	335	7.145
1014	1990	10	272	7.169
1003	1991	7	301	7.178
1001	1990	4	299	7.2
1007	1991	10	221	7.221
1006	1990	10	265	7.228
1002	1991	9	307	7.26
1012	1990	8	333	7.27
1077	1991	2	235	7.271
1016	1991	10	304	7.337
1022	1991	2	288	7.345
1007	1990	12	262	7.392
1005	1991	3	320	7.393
1002	1991	3	242	7.41
1030	1991	6	240	7.446
1003	1990	10	266	7.468
1010	1990	10	236	7.521
1030	1991	3	340	7.533
1005	1990	12	258	7.539
1058	1990	9	374	7.564
1006	1990	3	263	7.59
1049	1990	11	235	7.608
1007	1990	11	280	7.697
1005	1991	10	260	7.702
1022	1991	1	300	7.737
1003	1990	11	238	7.793
1029	1991	1	320	7.826
1037	1990	9	346	7.858
1008	1990	10	263	7.868
1001	1990	4	301	8
1002	1990	4	284	8
1031	1991	4	327	8.006
1093	1990	7	357	8.038
1025	1991	6	230	8.041
1002	1991	3	356	8.042
1025	1990	11	245	8.054
1001	1991	3	265	8.069
1001	1990	3	263	8.07
1001	1990	10	267	8.123
1002	1990	5	312	8.266
1026	1991	10	268	8.278
1037	1990	9	300	8.294
1007	1991	10	310	8.38
1009	1991	10	309	8.407
1022	1991	10	285	8.445
1006	1990	11	262	8.45
1001	1991	9	308	8.525
1035	1991	6	299	8.529
1013	1991	3	372	8.543
1038	1991	9	273	8.581
1010	1990	12	250	8.583
1004	1990	5	348	8.607
1004	1990	4	376	8.7
1004	1990	11	269	8.711
1003	1991	6	326	8.719
1003	1990	11	284	8.751
1001	1990	10	237	8.817
1005	1990	2	296	8.84
1017	1990	11	268	8.934
1006	1990	4	402	9
1013	1990	3	330	9.004
1018	1990	12	245	9.064
1005	1990	9	348	9.132
1019	1991	1	312	9.149
1031	1991	1	307	9.195
1003	1990	4	354	9.2
1018	1991	1	296	9.204
1034	1991	4	392	9.22
1003	1990	3	337	9.255
1034	1991	6	280	9.282
1003	1990	9	265	9.287
1001	1991	2	313	9.314
1011	1990	3	413	9.34
1010	1991	1	359	9.382
1005	1990	4	273	9.4
1026	1990	9	324	9.4
1003	1991	1	399	9.431
1016	1990	11	270	9.447
1003	1990	3	262	9.488
1007	1991	1	301	9.544
1010	1991	1	273	9.712
1002	1990	3	226	9.782
1009	1991	2	318	9.788
1005	1991	10	299	9.794
1002	1991	2	372	9.826
1004	1990	12	248	9.876
1051	1991	9	337	9.911
1001	1990	3	325	9.921
1010	1991	1	279	9.972
1009	1991	1	301	10.017
1005	1991	10	370	10.068
1015	1991	1	320	10.084
1006	1990	11	297	10.139
1004	1990	12	271	10.183
1027	1990	9	410	10.225
1006	1990	1	428	10.257
1017	1991	1	288	10.277
1001	1990	3	310	10.29
1046	1990	9	284	10.338
1012	1991	1	335	10.483
1016	1990	9	288	10.505
1006	1990	1	294	10.522
1016	1990	11	266	10.55
1035	1991	1	334	10.661
1025	1991	1	417	10.7
1005	1990	5	332	10.847
1023	1991	1	325	10.944
1004	1990	1	460	11.115
1002	1991	1	280	11.141
1040	1990	11	285	11.192
1018	1990	11	330	11.241
1005	1991	7	383	11.269
1054	1990	11	307	11.275
1002	1990	9	329	11.378
1058	1990	11	276	11.392
1008	1990	3	365	11.42
1003	1991	2	275	11.432
1030	1990	9	355	11.492
1008	1991	1	329	11.493
1021	1991	1	369	11.493
1002	1990	1	370	11.545
1009	1991	10	347	11.576
1002	1991	1	327	11.615
1006	1991	10	348	11.711
1024	1991	1	311	11.712
1006	1991	1	417	11.742
1032	1991	1	323	11.769
1003	1990	12	306	11.89
1003	1991	1	305	11.896
1006	1990	12	291	11.955
1007	1990	12	298	11.959
1003	1990	12	275	12.039
1002	1990	3	290	12.041
1001	1990	11	304	12.051
1034	1991	1	320	12.07
1042	1990	11	271	12.171
1001	1990	9	370	12.186
1002	1991	9	323	12.337
1002	1990	12	326	12.34
1001	1990	1	321	12.379
1002	1991	9	302	12.442
1016	1991	1	318	12.475
1005	1990	11	297	12.529
1036	1991	1	314	12.571
1050	1990	11	302	12.581
1003	1991	10	325	12.668
1024	1991	1	410	12.697
1028	1990	9	395	12.711
1001	1990	12	346	12.722
1047	1990	11	308	12.772
1023	1991	1	365	12.915
1027	1991	1	311	12.953
1020	1990	12	301	13.005
1018	1991	3	319	13.028
1045	1990	9	306	13.179
1006	1991	10	300	13.427
1020	1991	1	362	13.591
1001	1991	2	452	13.633
1002	1990	11	310	13.871
1001	1990	3	306	14.07
1008	1991	10	331	14.099
1043	1990	9	312	14.205
1046	1990	9	425	14.292
1031	1990	9	322	14.298
1001	1991	10	387	14.333
1034	1990	9	357	14.384
1002	1991	10	388	14.616
1002	1990	9	341	14.665
1002	1990	3	528	14.826
1011	1991	1	360	14.914
1007	1990	1	449	14.981
1004	1991	10	319	15.085
1001	1990	9	384	15.125
1048	1990	9	406	15.135
1001	1991	10	364	15.171
1032	1990	9	335	15.947
1034	1990	9	400	16.034
1012	1990	3	394	16.24
1029	1990	9	319	16.282
1042	1990	9	312	16.392
1003	1990	9	392	16.411
1030	1990	9	342	16.486
1003	1991	10	364	16.583
1012	1990	9	390	16.912
1039	1990	9	368	16.961
1049	1990	9	388	17.055
1011	1991	10	454	17.147
1007	1991	10	341	17.198
1002	1991	10	359	17.418
1019	1990	10	384	17.488
1001	1990	9	439	18.183
1038	1990	9	380	18.48
1010	1991	10	415	18.483
1019	1991	10	435	18.83
1016	1991	10	487	18.847
1040	1990	9	375	19.176
1004	1991	10	385	19.378
1035	1990	9	410	19.88
1017	1990	9	425	20.125
1001	1990	12	481	20.34
1001	1990	9	408	20.422
1013	1991	10	458	21.227
1017	1990	11	410	21.412
1014	1991	10	495	21.939
1022	1991	10	541	22.133
1012	1991	10	488	22.415
1019	1990	11	399	22.468
1017	1991	10	488	22.874
1021	1991	10	483	23.162
1018	1991	10	538	24.195
1015	1991	10	420	24.292
1020	1991	10	543	24.746
1002	1991	9	508	37.811

				
