Time	YEAR	SITE	FIELD	AREA	SPTREAT	DEPTH	TUSW	GWFG	WHGO	CAGO	MALL	GADW	GWTE	CITE	UNTE	AMWI	NOPI	NOSH	RIDU	CANV	BUFF	WODU	RUDU	EUWI	UNDU	PBGB	SORA	COOT	COMO	AMBI	BCNH	GBHE	SNEG	GREG	WFIB	SACR	AMAV	BNST	BBPL	KILL	LBCU	GRYE	LEYE	LBDO	SNIP	DUNL	WESA	LESA	PEEP	RUFF	UNSH	RBGU	HEGU	CAGU	GUSP	WATERFWL	LLWADERS	SHOREBDS	AQBIRDS
3	1	4mile	4	4.52	rlfld	14.9	0	0	0	0	0	0	0	0	0	0	0	0.221238938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.212389381	0	0.221238938	0	0.884955752	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221238938	0	3.318584071	3.539823009
4	1	4mile	4	4.52	rlfld	15.9	0	0	0	0	0.442477876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.982300885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442477876	0	0	4.424778761
5	1	4mile	4	4.52	rlfld	12.9	0	0	0	0	5.973451327	0	0	0	0	0	0.884955752	0.442477876	0	0	0	0	0	0	14	0	0	10.17699115	0	0	0	0	0	0	0	0	0	0	0	0	0.221238938	0.221238938	0	0.221238938	0	0	0	0	0	0	0	0	0	0	0	10.39823009	0	0.663716814	21.23893805
6	1	4mile	4	4.52	rlfld	13.9	0	0	0	0	0.442477876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221238938	0	0.221238938	0	0	0	0	0	0	1.548672566	0.884955752	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442477876	0.442477876	2.433628319	3.318584071
7	1	4mile	4	4.52	rlfld	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442477876	0.663716814	1.548672566	0	3.097345133	0	0	0	0	0	0	0	0.221238938	0	0	0	0	0	5.752212389	5.973451327
8	1	4mile	4	4.52	rlfld	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663716814	1.10619469	0.663716814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.433628319	2.433628319
9	1	4mile	4	4.52	rlfld	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221238938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221238938	0.221238938
10	1	4mile	4	4.52	rlfld	4.9	0	0	0	0	0.442477876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442477876	0	0	0.442477876
11	1	4mile	4	4.52	rlfld	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	4mile	4	4.52	rlfld	4.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	4mile	5	7.66	rlfld	16.8	0	0	0	0	0.522193211	4.569190601	0	0	0	0	0	13.7075718	0	0	0	0	0	0	0	0	0	12.40208877	0	0	0	0	0	0.130548303	0	0	0	0.91383812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.79895561	0.130548303	0.91383812	32.24543081
4	1	4mile	5	7.66	rlfld	18.8	0	0	0	0	0	0	0	0	0	0	5.352480418	1.958224543	0	0	0	0	0	0	0	0	0	10.44386423	0	0	0	0	0	0.130548303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.310704961	0.130548303	0	17.88511749
5	1	4mile	5	7.66	rlfld	14.8	0	0	0	0	0	0.783289817	0	0	0	0	8.355091384	1.174934726	0	0	0	0	0	0	0	0	0	4.960835509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.31331593	0	0	15.27415144
6	1	4mile	5	7.66	rlfld	15.8	0	0	0	0	0.522193211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.18798956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.522193211	0	0	16.71018277
7	1	4mile	5	7.66	rlfld	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130548303	0.130548303	0	0	0	0	0	0	0	0	0	2.349869452	0	0	0	0	0	0.261096606	2.610966057
8	1	4mile	5	7.66	rlfld	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69713	41.25326371	0	0	0	0	0	0.391644909	0	0	0	0	0	42.95039164	43.34203655
9	1	4mile	5	7.66	rlfld	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261096606	0	0	0	0	0	0	0.261096606
10	1	4mile	5	7.66	rlfld	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130548303	0	0	0	0	0	0	0	0.130548303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.130548303	0.130548303	0.261096606
11	1	4mile	5	7.66	rlfld	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	4mile	5	7.66	rlfld	0.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	4mile	6	3.38	rlfld	19.6	0	0	0	0	0	0	0	0	0	0	0	0.295857988	0	0	0	0	0	0	0	0	0	10.35502959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295857988	0	0	10.65088757
4	1	4mile	6	3.38	rlfld	15.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.366863905	0	0	0	0	0	0.295857988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295857988	0	2.662721893
5	1	4mile	6	3.38	rlfld	16.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	4mile	6	3.38	rlfld	16.6	0	0	0	0	0.591715976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591715976	0	0	0.591715976
7	1	4mile	6	3.38	rlfld	8.6	0	0	0	0	2.662721893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.30177515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591715976	0	0	0	2.662721893	21.30177515	0	24.55621302
8	1	4mile	6	3.38	rlfld	6.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591715976	0	0.887573964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.479289941	1.479289941
9	1	4mile	6	3.38	rlfld	4.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.775147929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.775147929	1.775147929
10	1	4mile	6	3.38	rlfld	3.6	0	0	0	0	1.183431953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591715976	0.295857988	0.887573964	0	1.183431953	0	7.396449704	0	0	0	0	0	0	0	0	0	1.183431953	0	10.35502959	11.53846154
11	1	4mile	6	3.38	rlfld	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591715976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.591715976	0.591715976
12	1	4mile	6	3.38	rlfld	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	4mile	8	3.36	fld	35	0	0	0	0	1.785714286	0	0	0	0	0	0	2.380952381	0	0	0	0	0	0	0	0	0	18.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.166666667	0	0	22.91666667
4	1	4mile	8	3.36	fld	22	0	0	0	0	1.19047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.761904762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19047619	0	0	5.952380952
5	1	4mile	8	3.36	fld	31	0	0	0	0	1.19047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.226190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19047619	0	0	10.41666667
6	1	4mile	8	3.36	fld	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	4mile	8	3.36	fld	29	0	0	0	0	1.785714286	0	0	0	0	0	0	1.19047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.73809524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.976190476	32.73809524	0	35.71428571
8	1	4mile	8	3.36	fld	28	0	0	0	0	0.297619048	0	0	0	0	0	0	3.869047619	0	0	0	0	0	0	0	0	0	16.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.166666667	0	0	20.83333333
9	1	4mile	8	3.36	fld	16	0	0	0	0	13.0952381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.357142857	0	0	0	0	2.976190476	0	0.595238095	0	0	0	0	0	0	0.595238095	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0952381	3.571428571	0.595238095	22.61904762
10	1	4mile	8	3.36	fld	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297619048	0	0	0	0	0	0	0	0.892857143	0	0	0	0	0	0	0	0	0	0	0.595238095	0	0	0	0	0.297619048	0.892857143	1.785714286
11	1	4mile	8	3.36	fld	5	0	0	0	0	0.595238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.892857143	0	0.297619048	0	0	0.29762	0	0	0	0	0	0	0	0	0	0	0.595238095	0	1.488095238	2.083333333
12	1	4mile	8	3.36	fld	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	4mile	9	4.12	fld	26.2	0	0.242718447	335.6796117	1.213592233	5.339805825	0	0	0	0	0	1.45631068	11.65048544	0	0	0	0	0	0	0	0	0.24272	9.951456311	0	0.242718447	0	0	0	0	0	0	0	0.242718447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355.5825243	0.242718447	0.242718447	366.2621359
4	1	4mile	9	4.12	fld	20.2	0	0	0	0	0	0	0	0	0	0	0	1.213592233	0	0	0	0	0	0	0	0	0	9.708737864	0	0.242718447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.213592233	0.242718447	0	11.16504854
5	1	4mile	9	4.12	fld	15.2	0	0	0	0	2.912621359	0	0	0	0	0	0.72815534	1.941747573	0	0	0	0	0	0	0	0	0	1.941747573	0	0	0	0	0.242718447	0.242718447	0	0	0	0	0	0	1.45631068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.582524272	0.485436893	1.45631068	9.466019417
6	1	4mile	9	4.12	fld	24.2	0	0	0	0	7.281553398	0	0	0	0	0	2.427184466	16.99029126	0	0	0	0	0	0	0	0	0	32.52427184	0	0	0	0	0	0.242718447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.69902913	0.242718447	0	59.46601942
7	1	4mile	9	4.12	fld	16.2	0	0	0	0	1.45631068	0	0	0	0	0	0	7.524271845	0	0	0	0	0	0	4	0	0	0	0	0.242718447	0	0	0	0	29.12621359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.970873786	0	0	0	9.951456311	29.36893204	0	40.29126214
8	1	4mile	9	4.12	fld	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.89320388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243	0	0	0	0	0	12.13592233
9	1	4mile	9	4.12	fld	12.2	0	0	0	0	14.32038835	0	0	0	0	0	0.242718447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242718447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.5631068	0.242718447	0	14.80582524
10	1	4mile	9	4.12	fld	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242718447	0	0	0	0	0	0.242718447	3.398058252	1.45631068	0	0	0	0	0	0	0	0	0	5.582524272	0	0	0	0	0.242718447	5.097087379	10.9223301
11	1	4mile	9	4.12	fld	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	4mile	9	4.12	fld	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	4mile	10	4.5	fld	33.3	0	0	0	0	3.777777778	1.777777778	0.222222222	0	0	0	1.777777778	3.333333333	0	0	0	0	0	0	0	0	0	6.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.88888889	0	0	17.11111111
4	1	4mile	10	4.5	fld	30.3	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	7.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	7.333333333
5	1	4mile	10	4.5	fld	25.3	0	0	0	0	0	0	0.444444444	0	0	0.444444444	2.222222222	0.444444444	0	0	0	0	0	0	0	0	0	12.44444444	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.555555556	0.222222222	0	16.22222222
6	1	4mile	10	4.5	fld	26.3	0	0	0	0	4.888888889	0	0	0	0	0	0.888888889	6.888888889	0	0	0	0	0	0	0	0	0	22.44444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.66666667	0	0	35.11111111
7	1	4mile	10	4.5	fld	26.3	0	0	0	0	1.777777778	0	0	0	0	0	0.888888889	1.555555556	0	0	0	0	0	0	0	0	0	30.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.222222222	0	0	34.88888889
8	1	4mile	10	4.5	fld	25.3	0	0	0	0	1.777777778	0	0.444444444	0	0	0	0	8	0	0	0	0	0	0	0	0	0	15.11111111	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.22222222	0.222222222	0	25.55555556
9	1	4mile	10	4.5	fld	13.3	0	0	0	0	7.111111111	0	0	0	0	0	0.666666667	6	0	0	0	0	0	0	0	0	0	23.77777778	0	0.222222222	0	0	0	0.222222222	84	0	0	0	0	0	0.222222222	0	0	1.333333333	0	0	0	0	0	0	0	2.444444444	0	0	0	13.77777778	84.44444444	1.555555556	126
10	1	4mile	10	4.5	fld	5.3	0	0	0	0	0.888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	4.222222222	0.888888889	0	0	0	0	0	0	0	0	0	6.222222222	0	0	0	0.888888889	0.222222222	5.111111111	12.44444444
11	1	4mile	10	4.5	fld	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0.222222222	0.444444444	0	0	1.11111	0	0	0	0	0	0	0.222222222	0	0	0	0	0	2	2.222222222
12	1	4mile	10	4.5	fld	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0.222222222
3	1	4mile	11	4.01	fld	29.3	0	0	9.975062344	0	0	1.496259352	0	0	0	0.748129676	0	6.733167082	0	0	0	0	0	0	0	0	0	17.95511222	0	0.249376559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.95261845	0.249376559	0	37.15710723
4	1	4mile	11	4.01	fld	25.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.96009975	0	0.249376559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249376559	0	16.20947631
5	1	4mile	11	4.01	fld	17.3	0	0	0	0	3.49127182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.476309227	0	0	0	0	0	0.249376559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49127182	0.249376559	0	13.21695761
6	1	4mile	11	4.01	fld	20.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	4mile	11	4.01	fld	20.3	0	0	0	0	0	0	0	0	0	0	0	3.241895262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.241895262	0	0	3.241895262
8	1	4mile	11	4.01	fld	19.3	0	0	0	0	0.498753117	0	0	0	0	0	0	2.992518703	0	0	0	0	0	0	0	0	0	34.16458853	0	0	0	0	0	0.249376559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49127182	0.249376559	0	37.90523691
9	1	4mile	11	4.01	fld	16.3	0	0	0	0	5.985037406	0	7.2319202	0.499	0	0	0	7.730673317	0	0	0	0	0	0	0	0	0	46.13466334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.44638404	0	0	67.58104738
10	1	4mile	11	4.01	fld	6.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.45137157	0	0	0	0	0	0	0	0	0	0	1.746	0.249376559	0.249376559	3.740648379	0	0	0	0	0	0	0	0	0	1.995012469	0	0	0	0	0	5.985037406	27.43142145
11	1	4mile	11	4.01	fld	4.3	0	0	0	0	0.498753117	0	0	0.998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75	0	2.743142145	0.748129676	0	2.493765586	0	40.14962594	0	0.498753117	0	0	0	0.498753117	0	0	0	1.496259352	0	48.37905237	50.37406484
12	1	4mile	11	4.01	fld	4.3	0	0	0	0	0.997506234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249	2.244389027	0.249376559	0.249376559	0	0	0.24938	2.743142145	0	1.496259352	0	0	0	0	0	0	0	0.997506234	0	7.481296758	8.478802993
3	1	4mile	12	4.23	fld	30.9	0	0	0	0	6.619385343	0.709219858	0.472813239	0	0	0.472813239	1.418439716	0.236406619	0	0	0	0	0	0	2	0	0	17.73049645	0	0.236406619	0	0.236406619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.40189125	0.472813239	0	28.60520095
4	1	4mile	12	4.23	fld	27.9	0	0	0	0	0.472813239	0	0	0	0	0	0	0.709219858	0	0	0	0	0	0	0	0.236	0	13.4751773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.182033097	0	0	14.89361702
5	1	4mile	12	4.23	fld	20.9	0	0	0	0	3.309692671	0	0	0	0	0	0.236406619	9.456264775	0	0	0	0	0	0	0	0	0	17.73049645	0	0.236406619	0	0	0	0	4.01891253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236406619	0	0	0	13.00236407	4.255319149	0	35.22458629
6	1	4mile	12	4.23	fld	24.9	0	0	0	0	8.037825059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6572104	0	0.236406619	0	0	0	0	41.60756501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.945626478	0.236	0	0	8.037825059	41.84397163	0	65.72104019
7	1	4mile	12	4.23	fld	24.9	0	0	0	0	0	0	0	0	0	0	0	0.945626478	0	0	0	0	0	0	0	0	0	3.073286052	0	0.472813239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.945626478	0.472813239	0	4.491725768
8	1	4mile	12	4.23	fld	19.9	0	0	0	0	0	0	0	0	0	0	0	1.654846336	0	0	0	0	0	0	0	0	0	43.73522459	0	0	0	0	0	0	45.39007092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.836879433	0.236	0	0	1.654846336	45.39007092	0	93.8534279
9	1	4mile	12	4.23	fld	11.9	0	0	0	0	2.836879433	0.945626478	0	0	0	0	2.836879433	1.182033097	0	0	0	0	0	0	0	0	0	4.255319149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.80141844	0	0	12.05673759
