MONTH	LENGTH	AFD	LNLENGTH	LNAFD
12.000	22.500	0.127	3.114	-2.063
12.000	20.510	0.108	3.021	-2.223
12.000	22.880	0.135	3.130	-2.002
12.000	22.040	0.139	3.093	-1.974
12.000	22.170	0.088	3.099	-2.425
12.000	21.230	0.108	3.055	-2.227
12.000	19.640	0.102	2.978	-2.284
12.000	20.550	0.060	3.023	-2.812
12.000	20.540	0.085	3.022	-2.464
12.000	21.630	0.116	3.074	-2.158
12.000	22.300	0.126	3.105	-2.072
12.000	21.910	0.077	3.087	-2.564
12.000	22.330	0.129	3.106	-2.046
12.000	21.820	0.127	3.083	-2.063
12.000	22.560	0.124	3.116	-2.085
12.000	20.180	0.092	3.005	-2.386
12.000	21.280	0.093	3.058	-2.376
12.000	22.270	0.101	3.103	-2.297
12.000	19.740	0.079	2.983	-2.543
12.000	21.690	0.107	3.077	-2.236
12.000	21.810	0.116	3.082	-2.150
12.000	22.250	0.117	3.102	-2.150
12.000	22.040	0.133	3.093	-2.017
12.000	20.910	0.117	3.040	-2.147
12.000	20.370	0.113	3.014	-2.185
12.000	20.370	0.098	3.014	-2.324
12.000	20.030	0.079	2.997	-2.537
12.000	21.880	0.084	3.086	-2.475
12.000	21.900	0.107	3.086	-2.240
12.000	21.610	0.120	3.073	-2.121
12.000	20.010	0.103	2.996	-2.273
12.000	20.020	0.109	2.997	-2.220
12.000	20.540	0.066	3.022	-2.721
3.000	11.200	0.012	2.416	-4.390
3.000	11.000	0.013	2.398	-4.320
3.000	10.650	0.014	2.366	-4.290
3.000	10.300	0.011	2.332	-4.538
3.000	10.450	0.013	2.347	-4.366
3.000	9.780	0.009	2.280	-4.722
3.000	10.530	0.011	2.354	-4.501
3.000	10.360	0.011	2.338	-4.547
3.000	9.890	0.010	2.292	-4.595
3.000	9.570	0.009	2.259	-4.733
3.000	9.770	0.009	2.279	-4.667
3.000	10.000	0.010	2.303	-4.656
3.000	10.050	0.011	2.308	-4.556
3.000	9.620	0.009	2.264	-4.733
3.000	9.900	0.009	2.293	-4.699
3.000	10.230	0.010	2.325	-4.605
9.000	16.310	0.039	2.792	-3.244
9.000	15.560	0.054	2.745	-2.915
9.000	16.070	0.033	2.777	-3.408
9.000	16.030	0.052	2.774	-2.962
9.000	15.780	0.031	2.759	-3.471
9.000	15.520	0.036	2.742	-3.319
9.000	15.830	0.032	2.762	-3.445
9.000	15.860	0.031	2.764	-3.461
9.000	8.600	0.004	2.152	-5.521
9.000	8.670	0.006	2.160	-5.051
9.000	8.680	0.006	2.161	-5.099
9.000	9.290	0.007	2.229	-4.948
9.000	8.860	0.007	2.182	-4.948
9.000	8.930	0.006	2.189	-5.051
9.000	9.260	0.006	2.226	-5.099
2.000	17.770	0.065	2.878	-2.727
2.000	20.930	0.114	3.041	-2.171
2.000	21.760	0.138	3.080	-1.981
2.000	17.750	0.062	2.876	-2.781
2.000	21.550	0.112	3.070	-2.188
2.000	19.770	0.094	2.984	-2.369
2.000	20.080	0.099	3.000	-2.317
2.000	19.770	0.104	2.984	-2.266
2.000	20.830	0.116	3.036	-2.158
2.000	22.700	0.135	3.122	-2.002
2.000	22.980	0.138	3.135	-1.979
2.000	19.940	0.098	2.993	-2.328
2.000	20.760	0.119	3.033	-2.126
2.000	14.700	0.034	2.688	-3.370
2.000	22.170	0.153	3.099	-1.877
2.000	22.360	0.121	3.107	-2.111
2.000	21.080	0.096	3.048	-2.339
2.000	17.140	0.053	2.841	-2.941
2.000	17.440	0.056	2.859	-2.886
2.000	23.550	0.175	3.159	-1.741
2.000	23.810	0.161	3.170	-1.824
2.000	23.760	0.162	3.168	-1.823
2.000	24.780	0.164	3.210	-1.809
2.000	18.540	0.097	2.920	-2.336
2.000	19.130	0.080	2.951	-2.524
2.000	19.350	0.091	2.963	-2.397
2.000	18.590	0.068	2.923	-2.687
2.000	24.060	0.164	3.181	-1.811
2.000	17.070	0.056	2.837	-2.877
2.000	19.820	0.089	2.987	-2.414
2.000	19.570	0.077	2.974	-2.559
2.000	17.750	0.065	2.876	-2.740
2.000	18.770	0.078	2.932	-2.556
2.000	17.930	0.066	2.886	-2.717
2.000	23.190	0.140	3.144	-1.963
2.000	16.330	0.047	2.793	-3.055
2.000	22.820	0.148	3.128	-1.912
2.000	24.790	0.173	3.210	-1.757
2.000	22.800	0.147	3.127	-1.917
2.000	19.090	0.077	2.949	-2.567
2.000	19.310	0.085	2.961	-2.462
2.000	18.790	0.072	2.933	-2.626
2.000	17.000	0.042	2.833	-3.170
2.000	17.840	0.069	2.881	-2.669
2.000	18.300	0.071	2.907	-2.645
2.000	17.800	0.069	2.879	-2.671
2.000	17.710	0.064	2.874	-2.755
2.000	20.820	0.098	3.036	-2.324
2.000	21.500	0.121	3.068	-2.108
2.000	20.930	0.116	3.041	-2.155
2.000	20.870	0.132	3.038	-2.024
2.000	23.830	0.075	3.171	-2.589
2.000	21.090	0.104	3.049	-2.260
2.000	21.430	0.100	3.065	-2.306
2.000	26.500	0.236	3.277	-1.446
2.000	26.660	0.213	3.283	-1.546
2.000	26.900	0.245	3.292	-1.406
2.000	26.080	0.203	3.261	-1.596
2.000	22.520	0.115	3.114	-2.165
2.000	22.710	0.155	3.123	-1.862
2.000	22.340	0.130	3.106	-2.039
2.000	22.210	0.115	3.101	-2.164
2.000	22.050	0.119	3.093	-2.128
2.000	22.870	0.136	3.130	-1.995
2.000	22.270	0.124	3.103	-2.087
2.000	22.770	0.142	3.125	-1.949
2.000	22.780	0.146	3.126	-1.925
2.000	22.890	0.099	3.131	-2.313
2.000	21.980	0.119	3.090	-2.127
2.000	22.250	0.127	3.102	-2.065
2.000	22.020	0.130	3.092	-2.039
2.000	22.660	0.136	3.121	-1.994
2.000	25.670	0.195	3.245	-1.635
2.000	25.290	0.196	3.230	-1.628
2.000	25.560	0.186	3.241	-1.680
2.000	26.030	0.207	3.259	-1.573
2.000	25.820	0.208	3.251	-1.568
2.000	20.490	0.118	3.020	-2.136
2.000	20.280	0.095	3.010	-2.353
2.000	20.290	0.095	3.010	-2.352
2.000	19.890	0.085	2.990	-2.465
2.000	20.250	0.106	3.008	-2.244
2.000	20.050	0.114	2.998	-2.176
2.000	20.530	0.085	3.022	-2.464
2.000	30.320	0.366	3.412	-1.006
2.000	27.420	0.252	3.311	-1.380
2.000	30.850	0.312	3.429	-1.165
2.000	34.190	0.565	3.532	-0.572
2.000	31.630	0.420	3.454	-0.868
2.000	19.740	0.097	2.983	-2.329
2.000	24.070	0.154	3.181	-1.871
2.000	24.660	0.155	3.205	-1.862
2.000	25.430	0.199	3.236	-1.613
2.000	30.590	0.314	3.421	-1.157
2.000	24.300	0.147	3.190	-1.916
2.000	23.630	0.133	3.163	-2.018
2.000	24.870	0.171	3.214	-1.765
2.000	23.450	0.145	3.155	-1.932
2.000	25.150	0.172	3.225	-1.760
2.000	31.320	0.338	3.444	-1.086
2.000	30.370	0.336	3.413	-1.092
2.000	24.650	0.161	3.205	-1.829
2.000	24.030	0.170	3.179	-1.771
2.000	25.420	0.198	3.236	-1.622
2.000	24.120	0.153	3.183	-1.874
2.000	22.940	0.142	3.133	-1.951
2.000	26.450	0.224	3.275	-1.497
2.000	19.200	0.092	2.955	-2.389
2.000	24.910	0.163	3.215	-1.814
2.000	24.540	0.123	3.200	-2.100
2.000	18.740	0.077	2.931	-2.569
2.000	14.190	0.029	2.653	-3.527
2.000	16.000	0.047	2.773	-3.053
2.000	21.620	0.126	3.074	-2.070
2.000	26.690	0.201	3.284	-1.603
2.000	29.130	0.342	3.372	-1.074
2.000	23.240	0.147	3.146	-1.920
2.000	28.830	0.271	3.361	-1.307
2.000	24.350	0.175	3.193	-1.746
2.000	22.390	0.162	3.109	-1.822
2.000	20.050	0.086	2.998	-2.456
2.000	17.260	0.059	2.848	-2.825
2.000	19.290	0.072	2.960	-2.638
2.000	23.300	0.140	3.148	-1.965
2.000	23.130	0.151	3.141	-1.888
2.000	17.230	0.059	2.847	-2.830
2.000	16.410	0.056	2.798	-2.879
2.000	16.760	0.061	2.819	-2.800
2.000	15.200	0.039	2.721	-3.237
2.000	17.110	0.063	2.840	-2.757
2.000	19.060	0.089	2.948	-2.421
2.000	15.750	0.045	2.757	-3.106
2.000	16.430	0.048	2.799	-3.037
4.000	30.250	0.274	3.409	-1.295
4.000	23.050	0.110	3.138	-2.210
4.000	26.890	0.171	3.292	-1.765
4.000	19.380	0.060	2.964	-2.817
4.000	23.760	0.094	3.168	-2.367
4.000	23.610	0.117	3.162	-2.146
4.000	24.360	0.127	3.193	-2.067
4.000	27.410	0.198	3.311	-1.617
4.000	29.010	0.250	3.368	-1.387
4.000	26.450	0.209	3.275	-1.565
4.000	24.890	0.166	3.214	-1.794
4.000	25.360	0.148	3.233	-1.909
4.000	22.500	0.091	3.114	-2.398
4.000	22.760	0.115	3.125	-2.165
4.000	27.090	0.158	3.299	-1.847
4.000	24.130	0.152	3.183	-1.886
4.000	25.510	0.147	3.239	-1.919
4.000	23.680	0.131	3.165	-2.029
4.000	24.910	0.132	3.215	-2.022
4.000	22.900	0.129	3.131	-2.048
4.000	23.200	0.136	3.144	-1.999
4.000	11.670	0.015	2.457	-4.220
4.000	10.210	0.011	2.323	-4.519
4.000	9.930	0.009	2.296	-4.711
4.000	9.950	0.009	2.298	-4.722
4.000	19.780	0.095	2.985	-2.353
4.000	8.160	0.004	2.099	-5.426
4.000	9.020	0.007	2.199	-5.036
4.000	8.150	0.006	2.098	-5.185
4.000	7.460	0.004	2.010	-5.449
4.000	7.550	0.004	2.022	-5.547
4.000	7.130	0.003	1.964	-5.952
4.000	5.990	0.002	1.790	-6.266
4.000	5.660	0.002	1.733	-6.215
4.000	5.820	0.002	1.761	-6.502
4.000	10.380	0.010	2.340	-4.585
4.000	25.010	0.143	3.219	-1.948
4.000	25.660	0.159	3.245	-1.837
4.000	24.090	0.120	3.182	-2.120
4.000	12.320	0.019	2.511	-3.942
4.000	11.660	0.017	2.456	-4.069
4.000	11.060	0.015	2.403	-4.186
4.000	12.120	0.018	2.495	-3.995
4.000	13.850	0.026	2.628	-3.642
4.000	11.690	0.017	2.459	-4.080
4.000	11.470	0.014	2.440	-4.283
4.000	10.010	0.011	2.304	-4.538
4.000	9.990	0.010	2.302	-4.646
4.000	14.210	0.032	2.654	-3.427
4.000	13.920	0.027	2.633	-3.627
4.000	14.710	0.031	2.689	-3.480
4.000	13.970	0.025	2.637	-3.693
4.000	14.330	0.028	2.662	-3.576
4.000	12.890	0.024	2.556	-3.751
4.000	12.880	0.021	2.556	-3.868
4.000	13.770	0.025	2.622	-3.697
4.000	9.350	0.009	2.235	-4.667
4.000	12.850	0.023	2.553	-3.781
4.000	13.130	0.019	2.575	-3.942
4.000	11.420	0.015	2.435	-4.186
4.000	12.170	0.015	2.499	-4.167
4.000	10.240	0.012	2.326	-4.431
4.000	12.260	0.015	2.506	-4.173
4.000	12.360	0.020	2.514	-3.932
4.000	12.360	0.019	2.514	-3.963
4.000	10.310	0.013	2.333	-4.313
4.000	11.900	0.014	2.477	-4.276
4.000	12.010	0.017	2.486	-4.075
4.000	12.250	0.016	2.506	-4.110
4.000	12.360	0.019	2.514	-3.937
4.000	12.560	0.019	2.531	-3.974
4.000	12.250	0.019	2.506	-3.990
4.000	11.840	0.016	2.471	-4.141
4.000	12.360	0.020	2.514	-3.897
4.000	12.860	0.022	2.554	-3.830
4.000	12.150	0.018	2.497	-4.023
4.000	15.530	0.041	2.743	-3.194
4.000	13.010	0.021	2.566	-3.849
4.000	14.690	0.031	2.687	-3.458
4.000	14.650	0.030	2.684	-3.497
4.000	14.890	0.032	2.701	-3.442
4.000	14.610	0.031	2.682	-3.461
4.000	13.870	0.031	2.630	-3.464
4.000	13.560	0.025	2.607	-3.689
4.000	13.720	0.027	2.619	-3.601
4.000	14.150	0.027	2.650	-3.601
4.000	13.550	0.030	2.606	-3.520
4.000	14.470	0.035	2.672	-3.341
4.000	23.150	0.107	3.142	-2.231
4.000	22.120	0.108	3.096	-2.229
4.000	13.750	0.026	2.621	-3.638
4.000	13.480	0.028	2.601	-3.576
4.000	14.410	0.030	2.668	-3.513
4.000	15.020	0.037	2.709	-3.305
4.000	13.440	0.026	2.598	-3.638
4.000	12.800	0.020	2.549	-3.907
4.000	13.080	0.023	2.571	-3.785
4.000	13.990	0.024	2.638	-3.713
4.000	13.400	0.028	2.595	-3.590
4.000	14.870	0.035	2.699	-3.352
4.000	12.950	0.021	2.561	-3.887
4.000	12.790	0.024	2.549	-3.747
4.000	13.920	0.029	2.633	-3.540
4.000	14.240	0.030	2.656	-3.513
4.000	15.250	0.035	2.725	-3.364
4.000	14.520	0.034	2.676	-3.367
4.000	13.970	0.027	2.637	-3.597
4.000	12.550	0.022	2.530	-3.817
4.000	13.430	0.029	2.597	-3.547
4.000	14.100	0.032	2.646	-3.455
4.000	12.840	0.022	2.553	-3.821
4.000	12.980	0.022	2.563	-3.821
4.000	13.590	0.028	2.609	-3.561
4.000	13.930	0.027	2.634	-3.623
4.000	14.990	0.033	2.707	-3.408
4.000	10.610	0.012	2.362	-4.440
4.000	8.410	0.007	2.129	-5.021
4.000	14.160	0.031	2.650	-3.487
4.000	13.750	0.024	2.621	-3.713
4.000	13.030	0.021	2.567	-3.849
4.000	11.020	0.014	2.400	-4.305
4.000	10.080	0.010	2.311	-4.585
4.000	9.500	0.009	2.251	-4.744
4.000	11.210	0.016	2.417	-4.129
4.000	11.430	0.015	2.436	-4.227
4.000	15.400	0.029	2.734	-3.547
4.000	10.190	0.011	2.321	-4.492
4.000	10.430	0.010	2.345	-4.625
4.000	10.500	0.010	2.351	-4.585
4.000	11.450	0.013	2.438	-4.351
4.000	10.690	0.012	2.369	-4.448
4.000	11.300	0.014	2.425	-4.262
4.000	10.970	0.011	2.395	-4.465
4.000	7.700	0.004	2.041	-5.449
4.000	13.360	0.022	2.592	-3.830
4.000	12.910	0.017	2.558	-4.057
4.000	12.840	0.024	2.553	-3.734
4.000	12.620	0.016	2.535	-4.129
4.000	13.350	0.021	2.592	-3.878
4.000	11.840	0.017	2.471	-4.057
4.000	11.630	0.014	2.454	-4.247
4.000	11.710	0.014	2.460	-4.269
4.000	12.130	0.017	2.496	-4.086
4.000	8.600	0.006	2.152	-5.099
4.000	9.300	0.007	2.230	-5.036
4.000	14.210	0.026	2.654	-3.654
4.000	13.840	0.028	2.628	-3.558
4.000	13.580	0.025	2.609	-3.697
4.000	13.900	0.027	2.632	-3.594
4.000	13.840	0.023	2.628	-3.777
4.000	13.900	0.023	2.632	-3.751
4.000	13.900	0.026	2.632	-3.665
4.000	13.780	0.023	2.623	-3.772
4.000	13.530	0.020	2.605	-3.927
