site	subsite	easting	northing	presence	pprim_ssite	psec_ssite	phss_5km	phss_2.5km	phss_1km	pm_5km	pm_2.5km	pm_1km	pdens_5km	pdens_2.5km	pdens_1km	edens_5km	edens_2.5km	edens_1km	rdens_5km	rdens_2.5km	rdens_1km
4	12	508549	7073862	1	65.00	0.00	20.92	14.33	24.96	15.13	27.23	51.12	0.27	0.20	0.32	17.47	18.27	15.34	233.92	137.00	68.59
5	13	506649	7078146	0	0.00	0.00	28.15	25.13	37.15	17.11	9.94	16.74	0.50	1.17	1.59	26.20	35.79	59.01	886.21	1057.35	1013.69
5	14	506696	7078235	0	0.00	0.00	27.79	24.81	35.48	17.30	10.48	15.65	0.50	1.32	1.91	25.97	35.68	56.11	882.81	1072.20	987.06
5	15	506713	7078352	0	5.00	0.00	27.67	24.59	34.01	17.39	11.32	12.87	0.50	1.27	2.55	25.74	35.99	53.00	890.88	1096.10	991.61
6	16	500624	7079672	1	0.00	15.00	49.29	62.83	65.90	8.23	5.87	1.26	0.56	0.87	1.59	40.89	32.47	36.12	1473.74	1714.60	2701.77
6	17	500504	7079655	0	0.00	0.00	48.86	63.36	70.86	8.23	5.09	2.00	0.61	1.12	2.55	41.36	33.28	34.66	1450.50	1664.47	2417.22
6	18	500399	7079669	1	0.00	10.00	48.58	64.13	74.89	8.22	4.61	2.30	0.59	1.07	0.32	41.69	34.03	35.74	1444.17	1675.93	2374.72
7	19	501238	7080569	0	30.00	0.00	49.74	59.10	45.00	8.30	6.24	0.00	0.59	0.76	1.59	38.39	26.67	43.48	1540.43	2149.51	2705.63
7	20	501158	7080599	0	20.00	0.00	49.56	59.80	46.84	8.28	6.11	0.00	0.56	0.56	1.59	38.65	26.59	43.37	1538.46	2180.37	2552.04
7	21	501040	7080615	0	0.00	0.00	49.33	61.01	49.97	8.26	5.93	0.00	0.57	0.46	1.59	38.90	26.71	44.84	1532.35	2212.09	2635.88
8	22	500648	7081132	1	0.00	35.00	49.24	61.49	77.02	7.57	5.51	0.67	0.71	0.51	0.64	38.10	27.70	31.34	1540.15	2270.08	956.24
8	23	500525	7081084	0	0.00	65.00	49.00	62.76	77.80	7.60	5.12	0.26	0.73	0.56	0.96	38.54	28.82	33.15	1522.54	2281.00	974.95
8	24	500403	7081087	1	0.00	40.00	49.10	63.92	79.07	7.56	4.77	0.00	0.66	0.56	1.27	38.82	29.33	30.62	1505.37	2294.16	973.41
9	25	499835	7078117	0	0.00	0.00	44.25	57.62	66.55	5.88	4.90	9.38	0.56	1.32	1.27	39.30	51.12	38.19	1289.73	1402.28	1054.40
9	26	499803	7078247	1	10.00	15.00	44.41	58.02	66.50	5.88	4.72	10.52	0.59	1.02	1.27	39.58	50.64	37.78	1303.65	1413.46	1082.56
9	27	499812	7078381	1	25.00	0.00	44.68	58.32	68.71	5.93	4.58	10.52	0.62	0.97	1.91	39.86	49.96	32.74	1309.65	1453.97	1009.18
10	28	502407	7078460	0	0.00	15.00	49.66	45.24	37.38	8.48	11.56	32.65	0.60	0.87	0.64	36.33	36.86	30.08	1472.49	1429.44	1468.65
10	29	502520	7078436	0	0.00	0.00	49.34	44.50	36.80	8.49	11.58	35.01	0.64	0.87	0.64	35.97	36.29	30.99	1472.59	1490.39	1566.95
10	30	502423	7078574	0	5.00	5.00	50.01	44.16	35.05	8.77	11.37	30.47	0.62	0.71	1.59	36.43	36.97	28.65	1509.62	1574.83	1261.13
11	31	496888	7082680	1	5.00	10.00	49.22	67.31	75.83	8.02	1.32	0.99	0.59	0.71	1.91	39.01	37.88	23.19	1114.04	1097.68	2459.38
11	32	496963	7082574	1	0.00	0.00	49.21	68.07	76.37	7.64	1.32	0.29	0.55	0.81	0.95	39.27	36.90	21.10	1108.14	1088.36	2374.24
11	33	497034	7082489	0	5.00	0.00	49.17	68.76	76.33	7.31	1.32	0.00	0.51	0.61	0.95	39.42	36.35	20.83	1117.32	1074.19	2164.78
12	34	493861	7086395	1	0.00	5.00	48.10	54.92	64.89	11.63	28.08	35.11	0.57	0.15	0.32	39.22	22.24	0.00	1107.59	1078.79	218.87
12	35	493852	7086503	0	0.00	0.00	47.79	54.81	64.12	11.69	28.02	35.88	0.52	0.15	0.32	39.48	22.08	0.00	1125.12	1117.83	226.98
12	36	493838	7086573	0	0.00	0.00	47.56	54.62	64.62	11.74	27.89	35.38	0.61	0.15	0.32	39.64	21.72	0.00	1130.15	1129.89	226.98
13	37	493005	7087882	1	5.00	15.00	40.34	50.94	83.48	13.82	12.00	0.65	0.69	0.71	0.64	39.23	33.86	19.32	1057.58	1104.05	2674.37
13	38	492887	7087889	0	0.00	30.00	39.81	50.80	80.08	14.05	11.44	0.00	0.62	0.76	0.32	39.05	34.77	20.02	1058.62	1131.68	2650.06
13	39	492821	7087865	0	5.00	20.00	39.52	50.77	78.04	14.14	11.44	0.00	0.76	0.66	0.32	39.11	34.54	20.66	1058.41	1176.56	2716.97
14	40	492367	7086418	0	0.00	10.00	44.79	57.66	64.84	12.25	13.85	10.99	0.62	0.46	0.95	38.51	30.51	26.21	975.35	1309.94	2029.15
14	41	492461	7086405	0	0.00	0.00	45.08	57.81	68.26	12.12	14.87	10.84	0.62	0.41	0.96	38.42	30.15	23.37	985.12	1205.30	1849.81
14	42	492554	7086431	0	5.00	5.00	45.21	57.54	72.49	12.15	15.96	9.37	0.65	0.41	0.95	38.51	30.07	21.13	991.91	1171.43	1765.14
15	43	495374	7083413	0	0.00	0.00	48.42	63.54	83.49	10.24	5.39	1.20	0.64	0.51	1.59	35.44	43.26	30.43	918.14	1075.01	410.87
15	44	495407	7083287	0	0.00	15.00	48.32	64.06	84.99	10.06	4.05	1.21	0.65	0.46	0.95	35.65	43.62	30.35	903.44	1082.47	428.84
15	45	495351	7083170	1	5.00	0.00	48.07	64.34	81.15	9.93	2.81	1.19	0.61	0.51	2.55	35.85	44.12	29.89	902.89	1083.22	455.46
16	46	488626	7082705	1	5.00	10.00	40.61	57.61	60.63	5.56	9.36	22.22	0.81	0.46	0.32	46.16	37.32	33.51	855.95	597.59	553.35
16	47	488734	7082683	1	0.00	5.00	40.83	58.07	63.47	5.57	9.53	19.19	0.71	0.46	0.32	46.03	36.66	32.82	856.28	609.11	590.76
16	48	488840	7082679	0	0.00	0.00	41.14	58.43	67.61	5.60	9.66	15.54	0.75	0.46	0.32	46.14	36.33	32.61	846.11	613.64	550.43
17	49	489202	7083394	1	5.00	30.00	43.27	58.55	76.41	5.35	9.79	2.07	0.79	0.31	0.96	45.92	31.29	45.39	920.07	627.33	503.41
17	50	489311	7083358	1	10.00	5.00	43.52	59.03	75.53	5.31	9.86	1.11	0.71	0.41	0.64	45.68	31.69	42.35	913.70	618.12	439.14
17	51	489392	7083343	0	10.00	0.00	43.75	59.57	75.12	5.29	9.90	0.44	0.67	0.71	0.32	45.61	31.93	40.19	905.60	610.04	359.89
18	52	488688	7083410	1	0.00	20.00	42.31	55.14	73.79	5.59	10.10	8.00	0.67	0.51	0.32	46.71	34.90	42.40	893.64	599.14	682.48
18	53	488691	7083533	1	25.00	20.00	42.28	54.32	72.20	5.61	10.10	6.60	0.70	0.66	0.32	46.51	34.66	44.82	909.25	657.75	736.28
18	54	488672	7083679	0	0.00	25.00	42.09	52.83	68.88	5.61	9.94	5.51	0.76	0.66	0.64	46.24	35.19	46.22	986.71	814.02	751.92
19	55	487770	7081774	0	0.00	0.00	37.12	52.06	42.78	6.84	8.30	35.45	0.88	1.17	1.27	48.28	47.08	39.25	746.89	634.23	467.42
19	56	487875	7081728	0	0.00	0.00	36.89	52.77	47.03	6.66	8.40	34.74	0.92	1.07	1.59	47.67	46.92	37.38	745.14	638.51	554.70
19	57	487981	7081722	1	0.00	0.00	36.78	53.22	49.67	6.49	8.46	34.49	0.90	0.92	0.95	47.08	46.13	34.11	762.95	622.06	755.58
20	58	488789	7079949	1	0.00	5.00	29.17	45.70	70.06	6.68	4.84	0.32	0.99	0.92	1.27	42.97	48.60	58.06	545.03	657.73	690.80
20	59	488749	7079852	1	0.00	25.00	28.47	44.35	69.64	6.75	4.66	0.20	1.06	0.97	2.23	43.17	48.33	59.75	541.82	674.71	746.90
20	60	488711	7079738	1	0.00	35.00	27.72	42.86	68.75	6.79	4.34	0.20	1.12	1.43	3.50	43.46	48.29	60.66	533.25	692.57	625.51
21	61	490899	7082582	0	0.00	0.00	47.56	57.47	59.65	5.43	3.02	0.00	0.61	0.36	0.32	41.02	37.10	27.54	829.04	684.04	1034.58
21	62	490804	7082544	1	0.00	10.00	47.04	57.84	60.17	5.30	3.47	0.00	0.65	0.46	0.32	41.31	37.15	25.80	807.89	683.55	996.98
21	63	490700	7082580	1	0.00	25.00	46.70	58.44	59.18	5.29	4.04	0.00	0.62	0.51	2.23	41.56	37.23	23.16	813.06	682.39	1046.14
22	64	489276	7084185	0	0.00	10.00	42.62	56.03	75.67	5.54	8.95	0.00	0.80	0.46	1.59	43.32	33.25	28.84	1021.49	830.54	779.89
22	65	489274	7084038	0	0.00	5.00	42.79	56.63	77.68	5.43	9.29	0.00	0.79	0.31	0.32	43.82	32.30	32.78	986.04	828.16	702.65
22	66	489232	7083895	0	0.00	0.00	42.78	56.98	78.43	5.40	9.68	0.29	0.74	0.25	0.32	44.46	31.24	37.18	978.66	808.52	625.42
23	67	487816	7083994	1	5.00	10.00	39.49	44.02	57.24	6.19	8.83	9.22	0.90	1.12	1.27	46.69	40.71	36.36	979.56	902.70	513.75
23	68	487792	7083878	0	0.00	15.00	39.61	44.13	57.98	6.17	8.88	11.73	0.80	1.22	0.95	46.68	40.89	39.82	974.02	851.44	526.45
23	69	487776	7083781	1	15.00	30.00	39.72	44.28	58.14	6.12	9.02	13.64	0.89	0.92	0.96	46.63	40.39	42.35	942.01	825.55	510.11
24	70	498257	7091461	0	5.00	0.00	38.09	36.64	45.70	7.12	2.47	0.00	0.41	0.36	0.64	23.20	22.07	26.71	737.96	1173.10	1599.80
24	71	498220	7091555	1	5.00	0.00	37.42	36.36	50.30	6.98	2.69	0.00	0.42	0.36	0.32	23.36	21.90	26.77	730.13	1139.01	1556.79
24	72	498264	7091688	0	5.00	0.00	36.75	35.16	55.53	6.71	2.99	0.00	0.47	0.36	0.95	23.28	21.61	28.65	720.07	1020.43	1573.98
25	73	502044	7082475	0	0.00	0.00	51.85	41.29	49.21	10.24	14.45	30.22	0.55	0.71	0.32	28.40	33.26	35.47	1520.47	2237.99	2909.54
25	74	502037	7082362	0	0.00	0.00	51.63	41.40	50.73	10.17	14.55	26.04	0.47	0.61	0.32	28.70	33.00	36.49	1543.46	2264.59	2860.93
25	75	502039	7082231	0	0.00	0.00	51.27	41.35	51.99	10.04	14.57	21.24	0.50	0.81	0.64	29.03	32.93	35.06	1553.26	2294.63	2605.42
26	76	502770	7082479	0	0.00	0.00	47.11	41.32	38.37	11.41	17.03	35.49	0.46	0.71	0.32	26.45	32.56	27.22	1442.91	2158.54	1797.33
26	77	502670	7082502	0	0.00	0.00	47.76	41.23	38.88	11.34	16.59	37.21	0.50	0.61	0.32	26.99	32.69	28.93	1454.95	2161.26	2031.55
26	78	502571	7082506	0	0.00	0.00	48.49	41.08	38.68	11.28	16.18	38.01	0.45	0.71	0.32	27.37	32.91	31.55	1466.01	2155.62	2207.41
27	79	502786	7083218	1	0.00	0.00	48.57	40.90	26.38	10.32	14.83	50.97	0.42	0.56	0.64	26.34	31.76	20.45	1371.53	1891.45	1286.21
27	80	502842	7083299	0	0.00	0.00	48.35	40.40	22.98	10.22	14.96	50.94	0.38	0.71	1.59	26.30	31.60	20.12	1372.01	1824.63	1248.39
27	81	502924	7083350	1	20.00	0.00	47.81	39.94	22.51	10.20	15.09	50.25	0.42	0.87	0.95	25.92	31.44	22.52	1365.13	1805.81	1267.23
28	82	501348	7086360	1	5.00	0.00	52.99	55.77	79.44	11.99	1.53	2.39	0.47	0.61	0.32	27.35	29.64	27.29	1071.29	764.91	797.33
28	83	501307	7086424	0	5.00	0.00	52.80	56.57	81.94	12.10	1.49	2.39	0.41	0.56	0.32	27.18	29.67	25.98	1049.59	761.54	755.78
28	84	501292	7086523	0	5.00	0.00	52.46	57.92	85.82	12.18	1.48	2.39	0.42	0.51	0.95	26.88	29.37	21.93	1026.23	779.86	804.55
29	85	483911	7084018	1	0.00	15.00	23.89	44.57	73.65	7.55	3.52	0.00	1.01	1.63	0.96	44.86	50.59	44.29	665.12	770.75	328.13
29	86	483799	7084049	1	0.00	45.00	23.67	44.70	76.64	7.40	3.70	0.00	0.98	1.38	1.27	45.08	49.98	39.91	653.69	718.26	328.82
29	87	483691	7084024	0	0.00	15.00	23.55	44.52	80.76	7.29	3.91	0.00	1.03	1.02	1.27	45.29	49.67	33.52	643.60	690.50	374.22
30	88	481852	7083787	1	5.00	30.00	21.31	35.62	49.83	5.53	6.73	1.80	1.10	1.38	0.64	43.48	39.81	31.03	486.05	202.48	404.19
30	89	481947	7083754	1	30.00	15.00	21.40	36.17	52.88	5.66	6.81	1.59	1.08	1.32	0.64	43.60	39.68	30.40	500.06	197.86	396.06
30	90	481995	7083678	1	0.00	0.00	21.42	36.44	51.96	5.78	6.92	1.17	1.17	1.32	0.64	43.74	39.22	29.35	498.45	209.68	353.83
31	91	483234	7074217	1	15.00	0.00	25.13	35.29	57.94	12.89	10.10	2.60	1.29	1.68	2.23	40.45	40.77	36.55	219.98	317.82	585.51
31	92	483321	7074217	1	0.00	0.00	25.12	35.33	58.06	12.78	10.28	1.99	1.25	1.48	4.46	40.67	41.54	39.39	216.47	310.75	585.51
31	93	483116	7074224	1	10.00	10.00	25.17	35.31	57.21	13.02	9.78	3.66	1.18	1.58	1.27	40.06	40.01	34.11	223.00	325.29	575.51
32	94	483291	7071968	1	15.00	10.00	29.51	62.46	71.13	5.85	6.19	7.59	0.84	0.66	0.32	30.14	18.61	11.20	184.47	229.13	265.18
32	95	483370	7071932	1	5.00	0.00	29.51	61.90	72.97	5.70	6.52	7.46	0.85	0.71	0.32	29.96	19.34	11.38	198.00	207.37	243.32
32	96	483470	7071905	0	10.00	0.00	29.41	61.09	74.17	5.61	6.78	7.36	0.88	0.71	0.32	29.88	19.65	11.32	194.18	190.54	208.96
33	97	483288	7070452	0	5.00	25.00	31.21	53.64	85.32	3.09	7.09	6.43	0.61	0.10	0.32	23.24	15.95	9.34	156.23	123.42	77.28
33	98	483299	7070356	0	15.00	10.00	31.19	51.73	80.40	3.09	7.00	7.69	0.62	0.36	0.32	22.94	15.58	11.16	150.73	109.38	67.19
33	99	483316	7070198	1	0.00	60.00	31.19	49.26	71.95	3.05	6.71	8.63	0.60	0.20	0.32	22.30	14.98	13.67	146.70	85.70	70.76
34	100	481763	7072678	0	20.00	5.00	27.48	48.37	56.89	9.10	5.12	4.67	0.79	0.87	0.32	30.78	21.89	20.83	184.80	325.24	214.89
34	101	481752	7072558	0	5.00	45.00	27.48	49.50	58.16	8.79	4.91	4.64	0.76	0.66	0.32	29.96	20.88	21.15	180.61	287.09	218.55
34	102	481717	7072441	0	10.00	15.00	27.37	49.92	59.77	8.35	4.73	5.29	0.74	0.76	0.32	29.08	19.87	20.55	177.15	281.09	218.55
35	103	478005	7080266	0	0.00	5.00	9.28	13.92	9.13	13.66	17.16	12.91	1.02	0.97	0.95	31.14	35.13	29.49	124.23	151.56	142.43
35	104	477912	7080284	0	0.00	25.00	9.30	13.75	8.90	13.37	17.09	13.81	1.15	0.76	0.96	30.35	35.27	30.48	121.62	137.63	139.19
35	105	477945	7080398	0	0.00	0.00	9.61	13.87	6.27	13.16	16.28	12.64	1.13	0.87	2.23	31.00	35.50	29.35	121.56	149.16	198.67
36	106	478405	7083917	1	35.00	20.00	16.19	20.95	21.55	4.62	3.65	4.22	1.08	1.12	2.23	29.68	41.75	53.33	152.69	115.45	179.62
36	107	478288	7083948	1	35.00	10.00	15.84	21.13	21.54	4.46	3.54	4.20	1.07	1.12	1.91	29.10	41.38	53.75	150.13	108.79	138.31
36	108	478285	7084030	0	45.00	10.00	15.85	21.41	20.79	4.26	3.50	4.19	1.09	1.07	1.91	29.12	40.71	53.08	155.60	103.89	153.44
37	109	482525	7092300	1	5.00	0.00	40.20	69.09	71.23	11.46	18.64	28.77	0.52	0.10	0.32	15.64	5.71	0.00	262.46	61.69	0.00
37	110	482480	7092208	1	5.00	0.00	40.02	69.09	73.86	11.33	18.65	26.14	0.46	0.20	0.32	15.65	5.74	0.00	259.54	83.46	0.00
37	111	482466	7092093	1	15.00	0.00	39.69	68.35	76.99	11.23	18.68	23.01	0.42	0.10	0.32	15.70	5.93	0.00	257.11	100.31	0.00
38	112	482544	7090731	0	0.00	0.00	35.77	55.24	82.21	10.60	10.96	4.93	0.57	0.20	0.95	18.76	12.86	14.24	387.72	198.23	197.09
38	113	482505	7090647	0	10.00	0.00	35.55	54.51	82.06	10.48	10.66	5.19	0.52	0.20	0.32	18.86	12.86	15.13	374.32	235.37	229.94
38	114	482521	7090534	0	15.00	0.00	35.20	52.84	79.71	10.35	9.87	5.23	0.51	0.20	0.32	19.08	13.02	16.67	388.69	260.00	361.33
39	115	482043	7092659	1	5.00	0.00	41.22	75.77	77.64	10.65	20.86	22.36	0.47	0.05	0.32	13.12	2.75	0.00	203.55	40.64	0.00
39	116	481965	7092692	1	0.00	0.00	41.30	76.42	77.80	10.50	21.04	22.20	0.48	0.05	0.32	12.78	2.35	0.00	198.81	46.60	0.00
39	117	481897	7092687	0	0.00	0.00	41.31	76.79	78.06	10.40	21.14	21.94	0.43	0.05	0.32	12.53	2.01	0.00	194.48	46.71	0.00
40	118	484012	7093659	1	15.00	5.00	37.80	45.81	72.77	12.17	22.29	12.56	0.66	0.71	1.59	19.92	18.55	12.54	362.62	130.16	48.21
40	119	483918	7093673	1	15.00	5.00	38.14	47.66	74.70	12.12	22.63	13.65	0.66	0.66	0.64	19.55	18.14	10.07	345.48	121.04	35.90
40	120	483818	7093664	0	0.00	0.00	38.55	49.65	74.49	12.03	22.78	17.05	0.70	0.66	0.95	19.25	17.50	8.48	337.74	110.74	23.59
41	121	499102	7095186	1	5.00	0.00	27.14	27.57	22.55	5.06	4.95	1.21	0.34	0.76	1.91	20.60	21.96	31.56	395.75	203.25	82.52
41	122	499076	7095057	1	5.00	0.00	26.67	28.86	20.96	4.79	5.00	2.47	0.52	0.87	1.91	20.89	21.87	29.95	397.03	217.86	110.14
41	123	499058	7094943	0	0.00	0.00	26.57	29.68	20.08	4.56	5.07	4.19	0.37	0.56	1.59	20.87	21.97	26.99	414.36	245.72	103.97
42	124	496823	7095189	1	20.00	0.00	27.81	35.45	68.73	4.98	13.28	13.56	0.61	0.81	1.27	29.01	37.69	37.26	586.49	721.92	654.17
42	125	496724	7095160	0	0.00	0.00	27.69	35.66	65.37	4.91	13.41	16.65	0.60	0.92	1.27	29.38	38.07	37.96	596.69	756.06	650.39
42	126	496589	7095202	0	5.00	0.00	27.60	35.10	59.25	4.97	13.39	19.19	0.69	1.27	1.91	29.87	38.23	41.73	597.96	767.81	592.42
43	127	481031	7086985	1	0.00	0.00	29.40	18.16	20.29	4.76	3.72	0.52	0.79	1.12	2.87	29.19	32.95	39.56	375.85	332.69	208.11
43	128	480960	7086903	0	5.00	0.00	29.07	18.19	19.34	4.75	3.58	1.10	0.79	1.07	1.59	29.26	33.69	37.43	360.21	312.47	173.73
43	129	480989	7086804	0	5.00	0.00	29.01	18.66	18.94	4.79	3.23	1.92	0.67	1.12	2.23	30.06	33.87	35.38	379.00	303.69	86.30
44	130	487043	7086310	0	15.00	0.00	28.71	19.00	15.30	7.22	4.01	3.23	0.90	1.27	1.27	40.95	43.84	49.38	946.74	1530.83	1430.18
44	131	487032	7086414	0	5.00	0.00	28.17	17.76	15.19	7.18	4.17	2.68	0.83	1.17	1.27	40.65	44.00	47.46	955.51	1615.30	1334.51
44	132	487159	7086526	0	0.00	0.00	27.55	17.61	15.58	7.19	4.28	2.05	0.83	1.27	1.59	40.54	43.40	46.47	961.37	1680.49	1324.20
45	133	486124	7099779	0	15.00	0.00	21.87	26.00	19.49	10.89	4.97	0.19	0.67	1.22	2.23	30.74	41.13	32.31	208.43	141.73	92.57
45	134	485997	7099750	0	10.00	0.00	22.09	26.21	21.48	10.81	4.50	0.03	0.67	1.17	2.23	30.52	40.73	31.36	180.18	165.89	116.17
45	135	485882	7099763	0	10.00	0.00	22.13	26.10	24.76	10.69	4.09	0.00	0.67	1.73	1.59	30.21	40.02	33.76	168.71	165.37	139.76
46	136	485264	7099740	0	10.00	0.00	22.78	25.69	41.38	10.02	2.75	0.00	0.62	0.92	0.64	28.88	37.81	47.01	145.95	148.60	265.83
46	137	485153	7099756	0	0.00	0.00	22.87	25.57	44.45	9.84	2.80	0.00	0.61	0.97	0.64	28.49	37.42	48.78	132.73	151.91	268.41
46	138	485100	7099619	0	0.00	5.00	23.29	24.78	43.51	10.01	3.26	0.38	0.64	1.02	1.91	28.55	37.74	50.04	135.54	160.66	265.07
47	139	491508	7096011	0	5.00	0.00	16.78	17.42	62.47	8.07	2.92	2.02	1.15	1.22	1.59	38.15	36.79	47.16	579.01	731.19	97.91
47	140	491658	7096053	0	20.00	10.00	17.14	17.50	61.21	8.19	2.99	2.69	1.08	1.22	1.27	37.95	37.87	47.65	563.17	746.64	106.88
47	141	491757	7096056	1	5.00	0.00	17.41	17.69	57.26	8.24	3.07	3.04	1.13	1.32	1.27	37.79	37.97	48.89	563.00	718.10	115.84
48	142	503502	7074949	1	0.00	55.00	33.94	53.45	68.79	4.59	5.48	10.07	0.43	0.87	0.96	24.09	30.41	30.64	689.63	939.72	1328.54
48	143	503553	7074834	1	0.00	85.00	33.58	52.51	68.93	4.75	5.21	9.51	0.39	0.92	1.27	23.64	28.96	30.57	680.64	933.26	1381.32
48	144	503640	7074739	0	0.00	85.00	33.16	52.01	70.72	5.14	4.81	8.50	0.39	0.76	0.96	23.32	27.74	29.51	659.95	932.57	1432.18
49	145	490870	7095200	0	5.00	20.00	15.47	21.12	27.82	7.51	2.33	2.99	1.11	0.97	0.64	39.00	31.42	49.96	630.29	738.31	184.03
49	146	490881	7095086	0	20.00	5.00	15.65	22.55	23.46	7.52	2.09	3.20	1.10	0.97	0.64	39.36	30.70	49.58	649.92	681.66	337.31
49	147	490840	7094957	1	20.00	40.00	15.53	24.02	17.50	7.49	2.12	3.20	1.18	0.81	0.64	39.61	30.24	45.43	662.40	647.07	465.06
50	148	490790	7092249	0	10.00	0.00	19.48	23.14	50.60	6.30	9.28	31.38	1.13	1.48	1.27	36.78	40.18	32.14	780.46	589.72	204.28
50	149	490771	7092348	0	0.00	30.00	18.99	22.91	52.72	6.45	9.21	28.58	1.10	1.27	0.64	36.86	39.11	31.98	747.66	604.57	204.28
50	150	490771	7092451	0	0.00	35.00	18.59	22.78	54.84	6.52	9.27	25.59	1.16	1.12	0.96	36.68	38.89	31.51	718.51	604.71	286.03
51	151	490175	7092972	1	0.00	15.00	16.24	17.90	46.68	7.26	9.19	14.61	1.18	1.27	0.95	37.51	33.90	42.62	656.09	573.51	526.79
51	152	490176	7093070	0	0.00	35.00	16.02	17.80	45.79	7.35	9.01	12.81	1.20	1.02	0.96	37.63	33.12	41.02	666.44	604.87	638.08
51	153	490222	7093168	0	0.00	0.00	15.94	17.87	44.44	7.33	8.97	9.93	1.30	1.17	1.27	37.83	32.97	38.34	653.28	601.55	708.49
52	154	493049	7093759	0	0.00	5.00	25.15	22.25	36.30	6.15	3.49	0.50	0.78	1.53	1.27	38.53	38.07	29.11	645.11	639.60	957.86
52	155	493080	7093845	0	35.00	10.00	25.09	21.67	34.96	6.17	3.55	0.51	0.87	1.38	1.59	38.67	36.52	28.38	633.75	681.20	930.97
52	156	493105	7093974	0	5.00	0.00	24.91	20.71	32.66	6.20	3.70	0.48	0.81	1.38	2.23	38.68	35.59	27.30	621.16	685.51	980.57
53	157	496518	7085028	1	15.00	0.00	54.87	45.36	36.04	10.98	21.17	13.65	0.45	0.56	2.23	32.67	40.76	66.78	1108.14	1035.24	2496.73
53	158	496607	7084956	0	0.00	0.00	55.16	45.99	37.03	10.95	19.76	10.26	0.46	0.66	2.23	32.68	41.82	67.59	1109.42	1039.59	2522.30
53	159	496737	7084823	0	0.00	20.00	55.54	47.34	39.51	10.81	17.28	5.03	0.42	0.81	2.55	33.04	42.82	63.44	1101.64	1051.72	2566.54
54	160	497689	7085240	1	40.00	0.00	57.38	38.83	43.43	10.79	10.88	0.83	0.38	1.12	2.86	31.11	44.70	58.68	1039.43	1099.57	677.95
54	161	497793	7085269	1	30.00	0.00	57.10	38.36	43.47	10.92	9.95	0.62	0.36	1.02	2.86	31.02	44.47	56.80	1034.18	1112.61	536.50
54	162	497575	7085231	0	0.00	10.00	57.66	39.51	44.91	10.67	12.15	1.14	0.39	1.02	2.86	31.16	44.89	59.73	1068.06	1092.17	1893.64
55	163	492205	7091481	0	5.00	0.00	27.01	32.88	24.93	7.32	8.21	16.49	0.84	1.22	3.18	36.07	52.79	73.51	1021.26	416.91	380.95
55	164	492345	7091402	0	30.00	0.00	27.59	33.56	22.61	7.79	7.78	14.37	0.87	1.12	3.18	35.76	53.66	76.88	1014.07	399.16	444.78
55	165	492371	7091327	0	0.00	0.00	27.81	33.38	22.21	8.06	7.62	14.02	0.87	1.17	5.41	35.68	53.73	77.70	1002.71	381.91	444.39
56	166	500549	7087731	0	0.00	60.00	46.97	74.39	96.60	12.20	1.76	0.44	0.36	0.25	0.64	24.68	25.37	8.48	951.77	608.49	547.96
56	167	500486	7087573	0	0.00	20.00	46.93	72.11	97.87	12.51	1.49	0.00	0.41	0.46	0.32	25.10	26.11	3.82	971.71	631.26	252.53
