Copepod	Nauplii	Volume	Station	Depth	Production_day	Production_week	Day	Month	Year	Substitute_vol
2	0	23.7301	A	0m	220	32	16	10	2002	FALSE
1	1	20.6061	A	5m	220	32	16	10	2002	FALSE
13	0	23.4497	C	0m	220	32	16	10	2002	FALSE
0	1	19.715	C	5m	220	32	16	10	2002	FALSE
7	2	24.9316	E	0m	220	32	16	10	2002	FALSE
4	3	18.8238	E	5m	220	32	16	10	2002	FALSE
8	0	21.9178	F	0m	220	32	16	10	2002	FALSE
0	0	16.0203	F	5m	220	32	16	10	2002	FALSE
21	23	21.1067	G	0m	220	32	16	10	2002	FALSE
1	13	18.0228	G	5m	220	32	16	10	2002	FALSE
0	0	22.5986	A	0m	228	33	24	10	2002	FALSE
0	0	22.108	A	5m	228	33	24	10	2002	FALSE
2	6	22.0379	C	0m	228	33	24	10	2002	FALSE
1	10	19.8251	C	5m	228	33	24	10	2002	FALSE
0	0	17.6223	E	0m	228	33	24	10	2002	FALSE
0	0	19.0241	E	5m	228	33	24	10	2002	FALSE
14	0	19.6349	F	0m	228	33	24	10	2002	FALSE
1	0	17.8126	F	5m	228	33	24	10	2002	FALSE
2	23	25.4322	G	0m	228	33	24	10	2002	FALSE
1	26	20.516	G	5m	228	33	24	10	2002	FALSE
0	0	24.5311	A	0m	234	34	30	10	2002	FALSE
1	0	20.7162	A	5m	234	34	30	10	2002	FALSE
0	1	25.7326	C	0m	234	34	30	10	2002	FALSE
0	1	24.3208	C	5m	234	34	30	10	2002	FALSE
1	0	24.1406	E	0m	234	34	30	10	2002	FALSE
3	0	20.6061	E	5m	234	34	30	10	2002	FALSE
1	0	21.6274	F	0m	234	34	30	10	2002	FALSE
0	0	14.6185	F	5m	234	34	30	10	2002	FALSE
11	12	22.4184	G	0m	234	34	30	10	2002	FALSE
1	7	20.0154	G	5m	234	34	30	10	2002	FALSE
6	0	18.8639	A	0m	243	35	8	11	2002	FALSE
0	0	13.3269	A	5m	243	35	8	11	2002	FALSE
0	31	26.4235	C	0m	243	35	8	11	2002	FALSE
0	52	20.8164	C	5m	243	35	8	11	2002	FALSE
1	0	17.9127	E	0m	243	35	8	11	2002	FALSE
0	0	17.2318	E	5m	243	35	8	11	2002	FALSE
3	0	23.6199	F	0m	243	35	8	11	2002	FALSE
0	1	24.9416	F	5m	243	35	8	11	2002	FALSE
14	0	20.9465	G	0m	243	35	8	11	2002	FALSE
0	0	22.929	G	5m	243	35	8	11	2002	FALSE
8	0	25.1318	A	0m	253	37	18	11	2002	FALSE
4	0	23.0392	A	5m	253	37	18	11	2002	FALSE
57	0	20.7062	C	0m	253	37	18	11	2002	FALSE
4	6	25.9329	C	5m	253	37	18	11	2002	FALSE
0	11	20.4759	E	0m	253	37	18	11	2002	FALSE
0	1	23.4397	E	5m	253	37	18	11	2002	FALSE
0	0	23.3396	A	0m	261	38	26	11	2002	FALSE
1	1	22.4184	A	5m	261	38	26	11	2002	FALSE
0	0	22.929	C	0m	261	38	26	11	2002	FALSE
0	9	24.6312	C	5m	261	38	26	11	2002	FALSE
1	9	24.8715	E	0m	261	38	26	11	2002	FALSE
2	6	23.2294	E	5m	261	38	26	11	2002	FALSE
0	0	23.1293	F	0m	261	38	26	11	2002	FALSE
0	0	24.9216	F	5m	261	38	26	11	2002	FALSE
0	0	24.0705	G	0m	261	38	26	11	2002	FALSE
0	1	21.317	G	5m	261	38	26	11	2002	FALSE
8	0	24.0304	A	0m	268	39	3	12	2002	FALSE
0	0	22.7288	A	5m	268	39	3	12	2002	FALSE
0	0	21.5273	C	0m	268	39	3	12	2002	FALSE
0	0	20.9465	C	5m	268	39	3	12	2002	FALSE
0	8	27.0543	E	0m	268	39	3	12	2002	FALSE
0	6	21.5072	E	5m	268	39	3	12	2002	FALSE
0	0	24.8515	F	0m	268	39	3	12	2002	FALSE
0	0	22.0179	F	5m	268	39	3	12	2002	FALSE
0	0	23.4397	G	0m	268	39	3	12	2002	FALSE
0	1	20.9365	G	5m	268	39	3	12	2002	FALSE
5	1	26.3233	A	0m	275	40	10	12	2002	FALSE
1	0	22.4384	A	5m	275	40	10	12	2002	FALSE
1	1	21.307	C	0m	275	40	10	12	2002	FALSE
0	0	16.3207	C	5m	275	40	10	12	2002	FALSE
2	3	27.615	E	0m	275	40	10	12	2002	FALSE
1	5	24.2307	E	5m	275	40	10	12	2002	FALSE
7	1	25.3721	A	0m	284	41	19	12	2002	FALSE
1	4	22.3283	A	5m	284	41	19	12	2002	FALSE
3	0	24.1206	C	0m	284	41	19	12	2002	FALSE
0	2	21.6274	C	5m	284	41	19	12	2002	FALSE
0	3	27.8253	E	0m	284	41	19	12	2002	FALSE
2	5	25.232	E	5m	284	41	19	12	2002	FALSE
0	1	25.0217	F	0m	284	41	19	12	2002	FALSE
0	0	23.0192	F	5m	284	41	19	12	2002	FALSE
6	0	23.1293	G	0m	284	41	19	12	2002	FALSE
1	3	20.3358	G	5m	284	41	19	12	2002	FALSE
4	0	24.731	A	0m	296	43	31	12	2002	FALSE
1	1	23.50659328	A	5m	296	43	31	12	2002	TRUE
1	1	23.9203045	C	0m	296	43	31	12	2002	FALSE
1	1	18.71370829	C	5m	296	43	31	12	2002	FALSE
0	2	24.23069773	E	0m	296	43	31	12	2002	FALSE
1	0	23.50659328	E	5m	296	43	31	12	2002	TRUE
0	0	23.50659328	F	0m	296	43	31	12	2002	TRUE
0	0	23.50659328	F	5m	296	43	31	12	2002	TRUE
0	2	23.28950534	G	0m	296	43	31	12	2002	FALSE
0	5	20.71624529	G	5m	296	43	31	12	2002	FALSE
0	2	24.83145883	A	0m	302	44	6	1	2003	FALSE
2	4	23.50659328	A	5m	302	44	6	1	2003	TRUE
2	6	21.92778018	C	0m	302	44	6	1	2003	FALSE
1	1	19.63487531	C	5m	302	44	6	1	2003	FALSE
3	6	25.74261317	E	0m	302	44	6	1	2003	FALSE
1	3	23.50659328	E	5m	302	44	6	1	2003	TRUE
0	0	23.50659328	F	0m	302	44	6	1	2003	TRUE
0	0	23.50659328	F	5m	302	44	6	1	2003	TRUE
1	0	23.61992394	G	0m	302	44	6	1	2003	FALSE
1	1	20.62613113	G	5m	302	44	6	1	2003	FALSE
53	0	33.8028246	A	0m	318	46	22	1	2003	FALSE
5	0	23.50659328	A	5m	318	46	22	1	2003	TRUE
23	10	21.06668927	C	0m	318	46	22	1	2003	FALSE
2	6	19.13424106	C	5m	318	46	22	1	2003	FALSE
10	0	20.45591548	E	0m	318	46	22	1	2003	FALSE
11	2	23.50659328	E	5m	318	46	22	1	2003	TRUE
6	0	23.50659328	F	0m	318	46	22	1	2003	TRUE
16	2	23.50659328	F	5m	318	46	22	1	2003	TRUE
18	0	35.23463856	G	0m	318	46	22	1	2003	FALSE
9	0	32.04059204	G	5m	318	46	22	1	2003	FALSE
6	0	24.33082458	A	0m	338	49	11	2	2003	FALSE
1	3	23.50659328	A	5m	338	49	11	2	2003	TRUE
15	1	21.81764064	C	0m	338	49	11	2	2003	FALSE
1	255	18.64361949	C	5m	338	49	11	2	2003	FALSE
16	1	23.9203045	E	0m	338	49	11	2	2003	FALSE
0	2	23.50659328	E	5m	338	49	11	2	2003	TRUE
2	0	23.50659328	F	0m	338	49	11	2	2003	TRUE
0	0	23.50659328	F	5m	338	49	11	2	2003	TRUE
20	2	23.649962	G	0m	338	49	11	2	2003	FALSE
9	80	23.65	G	5m	338	49	11	2	2003	FALSE
1	2	27.4147	A	0m	345	50	18	2	2003	FALSE
2	2	26.5336	A	5m	345	50	18	2	2003	FALSE
0	0	21.8577	C	0m	345	50	18	2	2003	FALSE
1	6	32.8416	C	5m	345	50	18	2	2003	FALSE
2	3	26.854	E	0m	345	50	18	2	2003	FALSE
0	14	32.4912	E	5m	345	50	18	2	2003	FALSE
1	1	22.7088	F	0m	345	50	18	2	2003	FALSE
0	2	28.9467	F	5m	345	50	18	2	2003	FALSE
3	0	27.2445	G	0m	345	50	18	2	2003	FALSE
1	0	36.306	G	5m	345	50	18	2	2003	FALSE
0	2	26.1131	A	0m	353	51	26	2	2003	FALSE
0	3	22.919	A	5m	353	51	26	2	2003	FALSE
0	285	25.9228	C	0m	353	51	26	2	2003	FALSE
1	230	24.6112	C	5m	353	51	26	2	2003	FALSE
3	4	23.6199	E	0m	353	51	26	2	2003	FALSE
1	11	23.4697	E	5m	353	51	26	2	2003	FALSE
0	0	23.7601	F	0m	353	51	26	2	2003	FALSE
2	1	29.3372	F	5m	353	51	26	2	2003	FALSE
0	1	20.8264	G	0m	353	51	26	2	2003	FALSE
3	4	20.0053	G	5m	353	51	26	2	2003	FALSE
8	0	30.4786	A	0m	367	53	12	3	2003	FALSE
3	4	23.4397	A	5m	367	53	12	3	2003	FALSE
6	4	24.3308	C	0m	367	53	12	3	2003	FALSE
7	0	23.3396	C	5m	367	53	12	3	2003	FALSE
3	0	23.4297	E	0m	367	53	12	3	2003	FALSE
1	2	19.3345	E	5m	367	53	12	3	2003	FALSE
11	0	23.1193	F	0m	367	53	12	3	2003	FALSE
6	0	24.8214	F	5m	367	53	12	3	2003	FALSE
30	3	20.9265	G	0m	367	53	12	3	2003	FALSE
0	0	19.1342	G	5m	367	53	12	3	2003	FALSE
90	0	10.2129	A	0m	372	54	17	3	2003	FALSE
5	1	15.5096	A	5m	372	54	17	3	2003	FALSE
4	0	13.427	C	0m	372	54	17	3	2003	FALSE
3	1	19.4446	C	5m	372	54	17	3	2003	FALSE
0	0	20.1655	E	0m	372	54	17	3	2003	FALSE
0	1	22.5386	E	5m	372	54	17	3	2003	FALSE
11	0	4.47567	F	0m	372	54	17	3	2003	FALSE
1	1	13.417	F	5m	372	54	17	3	2003	FALSE
24	3	7.82992	G	0m	372	54	17	3	2003	FALSE
3	1	10.9138	G	5m	372	54	17	3	2003	FALSE
9	0	7.70977	A	0m	381	55	26	3	2003	FALSE
1	0	9.01142	A	5m	381	55	26	3	2003	FALSE
0	9	12.5259	C	0m	381	55	26	3	2003	FALSE
1	15	14.7387	C	5m	381	55	26	3	2003	FALSE
4	4	18.8138	E	0m	381	55	26	3	2003	FALSE
1	1	13.1166	E	5m	381	55	26	3	2003	FALSE
1	0	8.20039	F	0m	381	55	26	3	2003	FALSE
1	0	11.4445	F	5m	381	55	26	3	2003	FALSE
1	16	8.65096	G	0m	381	55	26	3	2003	FALSE
1	0	6.80863	G	5m	381	55	26	3	2003	FALSE
50	0	19.9453	A	0m	390	56	4	4	2003	FALSE
13	1	19.2344	A	5m	390	56	4	4	2003	FALSE
6	3	23.3195	C	0m	390	56	4	4	2003	FALSE
4	9	20.2256	C	5m	390	56	4	4	2003	FALSE
4	0	18.3232	E	0m	390	56	4	4	2003	FALSE
0	1	15.81	E	5m	390	56	4	4	2003	FALSE
25	0	10.9339	F	0m	390	56	4	4	2003	FALSE
4	0	12.5459	F	5m	390	56	4	4	2003	FALSE
5	0	14.0478	G	0m	390	56	4	4	2003	FALSE
3	0	13.0365	G	5m	390	56	4	4	2003	FALSE
30	1	17.0516	A	0m	394	57	8	4	2003	FALSE
0	0	17.0116	A	5m	394	57	8	4	2003	FALSE
49	1	16.5209	C	0m	394	57	8	4	2003	FALSE
2	89	16.1104	C	5m	394	57	8	4	2003	FALSE
1	0	13.7374	E	0m	394	57	8	4	2003	FALSE
0	0	14.1079	E	5m	394	57	8	4	2003	FALSE
30	0	11.5046	F	0m	394	57	8	4	2003	FALSE
0	1	8.64095	F	5m	394	57	8	4	2003	FALSE
NA	0	7.60964061	G	0m	394	57	8	4	2003	FALSE
36	0	10.4132	G	5m	394	57	8	4	2003	FALSE
16	0	8.62092	A	0m	401	58	15	4	2003	FALSE
8	0	12.1153	A	5m	401	58	15	4	2003	FALSE
1	0	10.1128	C	0m	401	58	15	4	2003	FALSE
3	2	13.397	C	5m	401	58	15	4	2003	FALSE
2	3	14.5384	E	0m	401	58	15	4	2003	FALSE
1	4	16.1304	E	5m	401	58	15	4	2003	FALSE
1	0	15.0991	F	0m	401	58	15	4	2003	FALSE
0	0	13.6473	F	5m	401	58	15	4	2003	FALSE
2	0	11.4245	G	0m	401	58	15	4	2003	FALSE
3	0	13.9276	G	5m	401	58	15	4	2003	FALSE
10	0	6.47821	A	0m	408	59	22	4	2003	FALSE
1	1	10	A	5m	408	59	22	4	2003	FALSE
13	1	12.8262	C	0m	408	59	22	4	2003	FALSE
0	1	11.1441	C	5m	408	59	22	4	2003	FALSE
4	0	7.00888	E	0m	408	59	22	4	2003	FALSE
0	0	11.3744	E	5m	408	59	22	4	2003	FALSE
0	0	12.3557	F	0m	408	59	22	4	2003	FALSE
0	1	8.57086	F	5m	408	59	22	4	2003	FALSE
17	0	9.81243	G	0m	408	59	22	4	2003	FALSE
2	0	9.69228	G	5m	408	59	22	4	2003	FALSE
36	0	14.7987	A	0m	418	60	2	5	2003	FALSE
1	0	13.2268	A	5m	418	60	2	5	2003	FALSE
0	2	18.193	C	0m	418	60	2	5	2003	FALSE
1	0	12.2956	C	5m	418	60	2	5	2003	FALSE
0	0	12.4157	E	0m	418	60	2	5	2003	FALSE
2	0	14.198	F	0m	418	60	2	5	2003	FALSE
0	0	14.218	F	5m	418	60	2	5	2003	FALSE
7	0	13.8175	G	0m	418	60	2	5	2003	FALSE
1	0	13.0766	G	5m	418	60	2	5	2003	FALSE
2	0	13.0365	A	0m	428	62	12	5	2003	FALSE
0	0	3.41433	A	5m	428	62	12	5	2003	FALSE
0	1	8.0502	C	0m	428	62	12	5	2003	FALSE
0	0	6.83866	C	5m	428	62	12	5	2003	FALSE
0	0	13.5271	E	0m	428	62	12	5	2003	FALSE
0	0	10.8237	E	5m	428	62	12	5	2003	FALSE
0	0	11.9952	F	0m	428	62	12	5	2003	FALSE
0	0	8.50077	F	5m	428	62	12	5	2003	FALSE
0	0	6.68847	G	0m	428	62	12	5	2003	FALSE
1	0	5.10647	G	5m	428	62	12	5	2003	FALSE
0	0	16.2205	A	0m	436	63	20	5	2003	FALSE
0	0	18.3332	A	5m	436	63	20	5	2003	FALSE
0	0	16.1304	C	0m	436	63	20	5	2003	FALSE
0	0	15.5197	C	5m	436	63	20	5	2003	FALSE
0	0	3.90495	E	0m	436	63	20	5	2003	FALSE
0	1	8.2104	E	5m	436	63	20	5	2003	FALSE
0	0	7.69975	F	0m	436	63	20	5	2003	FALSE
0	0	14.2981	F	5m	436	63	20	5	2003	FALSE
0	0	9.82244	G	0m	436	63	20	5	2003	FALSE
0	0	5.9175	G	5m	436	63	20	5	2003	FALSE
0	0	14.3482	A	0m	444	64	28	5	2003	FALSE
0	0	9.20166	A	5m	444	64	28	5	2003	FALSE
0	0	8.41066	C	0m	444	64	28	5	2003	FALSE
0	0	11.2543	C	5m	444	64	28	5	2003	FALSE
0	0	7.46946	E	0m	444	64	28	5	2003	FALSE
0	0	11.6648	E	5m	444	64	28	5	2003	FALSE
0	0	11.7249	F	0m	444	64	28	5	2003	FALSE
0	0	0.951205	F	5m	444	64	28	5	2003	FALSE
0	0	6.29798	G	0m	444	64	28	5	2003	FALSE
0	1	1.00127	G	5m	444	64	28	5	2003	FALSE
0	0	7.10901	A	0m	449	65	2	6	2003	FALSE
0	0	6.7085	A	5m	449	65	2	6	2003	FALSE
0	0	7.71978	C	0m	449	65	2	6	2003	FALSE
0	0	11.5146	C	5m	449	65	2	6	2003	FALSE
1	0	16.0103	E	0m	449	65	2	6	2003	FALSE
0	0	7.80989	E	5m	449	65	2	6	2003	FALSE
0	0	7.92003	F	0m	449	65	2	6	2003	FALSE
0	0	9.3118	F	5m	449	65	2	6	2003	FALSE
0	0	11.054	G	0m	449	65	2	6	2003	FALSE
0	0	10.4432	G	5m	449	65	2	6	2003	FALSE
0	0	16.7112	A	0m	456	66	9	6	2003	FALSE
0	0	6.82865	A	5m	456	66	9	6	2003	FALSE
0	0	6.8687	C	0m	456	66	9	6	2003	FALSE
0	1	5.98759	C	5m	456	66	9	6	2003	FALSE
2	0	6.13778	E	0m	456	66	9	6	2003	FALSE
0	0	7.18911	E	5m	456	66	9	6	2003	FALSE
0	0	14.3482	F	0m	456	66	9	6	2003	FALSE
0	0	9.81243	F	5m	456	66	9	6	2003	FALSE
0	0	3.99506	G	0m	456	66	9	6	2003	FALSE
0	0	6.61838	G	5m	456	66	9	6	2003	FALSE
0	0	13.5772	A	0m	467	67	20	6	2003	FALSE
2	0	16.9014	A	5m	467	67	20	6	2003	FALSE
0	0	13.0565	C	0m	467	67	20	6	2003	FALSE
0	0	13.9076	C	5m	467	67	20	6	2003	FALSE
0	0	21.1067	E	0m	467	67	20	6	2003	FALSE
9	0	15.019	E	5m	467	67	20	6	2003	FALSE
0	0	10.5333	F	0m	467	67	20	6	2003	FALSE
0	0	7.87998	F	5m	467	67	20	6	2003	FALSE
0	0	7.3393	G	0m	467	67	20	6	2003	FALSE
0	0	8.64095	G	5m	467	67	20	6	2003	FALSE
0	0	13.0565	A	0m	473	68	26	6	2003	FALSE
0	0	19.1042	A	5m	473	68	26	6	2003	FALSE
0	0	22.9991	C	0m	473	68	26	6	2003	FALSE
0	0	14.4483	C	5m	473	68	26	6	2003	FALSE
0	0	15.1792	E	0m	473	68	26	6	2003	FALSE
0	0	14.8488	E	5m	473	68	26	6	2003	FALSE
0	0	9.64222	F	0m	473	68	26	6	2003	FALSE
1	0	10.5834	F	5m	473	68	26	6	2003	FALSE
0	0	10.5333	G	0m	473	68	26	6	2003	FALSE
1	1	9.40191	G	5m	473	68	26	6	2003	FALSE
2	0	11.4545	A	0m	485	70	8	7	2003	FALSE
2	0	4.28543	A	5m	485	70	8	7	2003	FALSE
1	0	9.5521	C	0m	485	70	8	7	2003	FALSE
1	1	9.22168	C	5m	485	70	8	7	2003	FALSE
1	0	12.4658	E	0m	485	70	8	7	2003	FALSE
0	0	8.96135	E	5m	485	70	8	7	2003	FALSE
0	0	4.00507	F	0m	485	70	8	7	2003	FALSE
1	0	2.40304	F	5m	485	70	8	7	2003	FALSE
1	0	6.0777	G	0m	485	70	8	7	2003	FALSE
1	0	4.33549	G	5m	485	70	8	7	2003	FALSE
1	0	19.5548	A	0m	493	71	16	7	2003	FALSE
0	0	18.0328	A	5m	493	71	16	7	2003	FALSE
1	0	27.2445	C	0m	493	71	16	7	2003	FALSE
1	0	27.2245	C	5m	493	71	16	7	2003	FALSE
0	1	19.3145	E	0m	493	71	16	7	2003	FALSE
0	0	18.5635	E	5m	493	71	16	7	2003	FALSE
0	0	15.9502	F	0m	493	71	16	7	2003	FALSE
0	0	14.7387	F	5m	493	71	16	7	2003	FALSE
1	0	22.9491	G	0m	493	71	16	7	2003	FALSE
0	0	11.3043	G	5m	493	71	16	7	2003	FALSE
2	0	11.9251	A	0m	499	72	22	7	2003	FALSE
1	0	5.09646	A	5m	499	72	22	7	2003	FALSE
6	1	14.0278	C	0m	499	72	22	7	2003	FALSE
0	0	8.20039	C	5m	499	72	22	7	2003	FALSE
1	0	16.6211	E	0m	499	72	22	7	2003	FALSE
0	0	11.6147	E	5m	499	72	22	7	2003	FALSE
2	0	3.51445	F	0m	499	72	22	7	2003	FALSE
0	0	4.80609	F	5m	499	72	22	7	2003	FALSE
3	0	3.79481	G	0m	499	72	22	7	2003	FALSE
1	0	5.51699	G	5m	499	72	22	7	2003	FALSE
0	0	5.07643	A	0m	507	73	30	7	2003	FALSE
0	0	5.61712	A	5m	507	73	30	7	2003	FALSE
0	1	7.48949	C	0m	507	73	30	7	2003	FALSE
0	0	3.72472	C	5m	507	73	30	7	2003	FALSE
10	0	9.62219	E	0m	507	73	30	7	2003	FALSE
1	0	0.991256	E	5m	507	73	30	7	2003	FALSE
1	0	7.19912	F	0m	507	73	30	7	2003	FALSE
0	0	4.31547	F	5m	507	73	30	7	2003	FALSE
0	0	5.38682	G	0m	507	73	30	7	2003	FALSE
0	0	0.831053	G	5m	507	73	30	7	2003	FALSE
0	0	4.19532	A	0m	513	74	5	8	2003	FALSE
0	0	1.60203	A	5m	513	74	5	8	2003	FALSE
0	0	0.310393	C	0m	513	74	5	8	2003	FALSE
0	1	3.51445	C	5m	513	74	5	8	2003	FALSE
0	0	4.39557	E	0m	513	74	5	8	2003	FALSE
0	0	7.1791	E	5m	513	74	5	8	2003	FALSE
0	0	27.0543	F	0m	513	74	5	8	2003	FALSE
0	0	6.7085	F	5m	513	74	5	8	2003	FALSE
0	0	24.8715	G	0m	513	74	5	8	2003	FALSE
0	0	3.56452	G	5m	513	74	5	8	2003	FALSE
1	0	6.1578	A	0m	519	75	11	8	2003	FALSE
0	0	4.91623	A	5m	519	75	11	8	2003	FALSE
2	1	7.45945	C	0m	519	75	11	8	2003	FALSE
1	1	6.7085	C	5m	519	75	11	8	2003	FALSE
1	0	12.0352	E	0m	519	75	11	8	2003	FALSE
0	0	5.80736	E	5m	519	75	11	8	2003	FALSE
0	0	9.17162	F	0m	519	75	11	8	2003	FALSE
0	0	4.23537	F	5m	519	75	11	8	2003	FALSE
0	0	7.10901	G	0m	519	75	11	8	2003	FALSE
1	0	4.00507	G	5m	519	75	11	8	2003	FALSE
1	0	14.0077	A	0m	531	76	23	8	2003	FALSE
0	0	7.00888	A	5m	531	76	23	8	2003	FALSE
2	0	17.8326	C	0m	531	76	23	8	2003	FALSE
0	1	11.4145	C	5m	531	76	23	8	2003	FALSE
9	0	15.0991	E	0m	531	76	23	8	2003	FALSE
0	3	11.1141	E	5m	531	76	23	8	2003	FALSE
0	0	11.3944	F	0m	531	76	23	8	2003	FALSE
0	0	9.33182	F	5m	531	76	23	8	2003	FALSE
1	1	10.0928	G	0m	531	76	23	8	2003	FALSE
1	0	6.35805	G	5m	531	76	23	8	2003	FALSE
10	0	18.5435	A	0m	534	77	26	8	2003	FALSE
0	0	14.218	A	5m	534	77	26	8	2003	FALSE
5	4	17.2318	C	0m	534	77	26	8	2003	FALSE
3	2	15.5497	C	5m	534	77	26	8	2003	FALSE
0	2	16.7512	E	0m	534	77	26	8	2003	FALSE
0	4	14.959	E	5m	534	77	26	8	2003	FALSE
0	0	17.6524	F	0m	534	77	26	8	2003	FALSE
0	0	13.5972	F	5m	534	77	26	8	2003	FALSE
2	0	16.5009	G	0m	534	77	26	8	2003	FALSE
0	0	31.7803	G	5m	534	77	26	8	2003	FALSE
22	0	22.8189	A	0m	543	78	4	9	2003	FALSE
1	0	16.5309	A	5m	543	78	4	9	2003	FALSE
8	2	23.9203	C	0m	543	78	4	9	2003	FALSE
3	8	18.163	C	5m	543	78	4	9	2003	FALSE
7	0	18.6136	E	0m	543	78	4	9	2003	FALSE
2	0	16.3808	E	5m	543	78	4	9	2003	FALSE
7	0	17.402	F	0m	543	78	4	9	2003	FALSE
2	0	15.3194	F	5m	543	78	4	9	2003	FALSE
39	0	16.2606	G	0m	543	78	4	9	2003	FALSE
2	0	13.457	G	5m	543	78	4	9	2003	FALSE
18	0	17.2519	A	0m	549	79	10	9	2003	FALSE
1	0	12.4157	A	5m	549	79	10	9	2003	FALSE
16	0	14.0378	C	0m	549	79	10	9	2003	FALSE
1	1	10.3131	C	5m	549	79	10	9	2003	FALSE
9	0	13.397	E	0m	549	79	10	9	2003	FALSE
1	0	9.93258	E	5m	549	79	10	9	2003	FALSE
8	0	12.3356	F	0m	549	79	10	9	2003	FALSE
0	0	5.95755	F	5m	549	79	10	9	2003	FALSE
2	0	12.2856	G	0m	549	79	10	9	2003	FALSE
0	0	7.94006	G	5m	549	79	10	9	2003	FALSE
25	0	22.7388	A	0m	570	82	1	10	2003	FALSE
5	0	19.4847	A	5m	570	82	1	10	2003	FALSE
5	52	18.2732	C	0m	570	82	1	10	2003	FALSE
6	74	16.611	C	5m	570	82	1	10	2003	FALSE
4	0	19.0241	E	0m	570	82	1	10	2003	FALSE
0	0	16.5109	E	5m	570	82	1	10	2003	FALSE
4	0	17.2619	F	0m	570	82	1	10	2003	FALSE
2	0	12.1854	F	5m	570	82	1	10	2003	FALSE
190	0	19.0541	G	0m	570	82	1	10	2003	FALSE
25	2	13.7875	G	5m	570	82	1	10	2003	FALSE
